quarter,companies_covered,panel_n_scored,L1_median_q,L1_scale_q,companies_excluded,excluded_tickers,excluded_devs,L1_kept,L1_all,companies_breaching_aisc_cap,breaching_tickers,sector_distress_diagnostic
2013Q1,6,6,4.38,9.94,0,,,2.02,2.02,0,,False
2013Q2,6,6,-13.87,11.4,0,,,-18.35,-18.35,3,AEM;GFI;NEM,True
2013Q3,6,6,-2.59,7.25,0,,,0.06,0.06,3,AU;GFI;KGC,True
2013Q4,6,6,-0.23,8.92,0,,,-4.62,-4.62,4,AU;GFI;KGC;NEM,True
2014Q1,6,6,9.95,4.82,0,,,11.12,11.12,3,AU;GFI;NEM,True
2014Q2,6,6,8.79,4.42,0,,,8.19,8.19,3,AU;GFI;NEM,True
2014Q3,6,6,9.0,6.43,0,,,8.0,8.0,3,AEM;AU;GFI,True
2014Q4,6,6,1.15,4.2,1,NEM,NEM+14.8,-0.11,2.57,3,AU;GFI;KGC,True
2015Q1,6,6,7.06,3.64,2,GFI;NEM,GFI-15.4;NEM+14.2,8.15,7.59,2,AU;GFI,True
2015Q2,6,6,8.19,6.41,0,,,8.13,8.13,3,AU;GFI;KGC,True
2015Q3,6,6,7.64,8.33,0,,,8.84,8.84,3,AU;GFI;KGC,True
2015Q4,6,6,7.52,11.62,0,,,5.53,5.53,4,AU;GFI;KGC;NEM,True
2016H1,2,2,9.7,5.45,0,,,9.7,9.7,2,AU;GFI,True
2016Q1,4,4,13.02,10.97,0,,,13.43,13.43,1,KGC,False
2016Q2,4,4,18.31,6.78,0,,,18.72,18.72,0,,False
2016H2,2,2,9.65,0.88,0,,,9.65,9.65,1,AU,False
2016Q3,4,4,19.08,4.74,1,GOLD,GOLD+18.8,17.41,22.52,0,,False
2016Q4,4,4,6.75,13.31,0,,,7.04,7.04,1,KGC,False
2017H1,2,2,-1.35,7.55,0,,,-1.35,-1.35,1,AU,False
2017Q1,4,4,12.96,4.95,0,,,12.04,12.04,0,,False
2017Q2,4,4,8.55,14.0,0,,,7.95,7.95,0,,False
2017H2,2,2,8.73,2.43,0,,,8.73,8.73,1,AU,False
2017Q3,4,4,11.18,7.55,1,AEM,AEM-24.6,13.48,6.76,0,,False
2017Q4,4,4,3.38,21.94,0,,,0.59,0.59,0,,False
2018H1,2,2,0.06,6.93,0,,,0.06,0.06,0,,False
2018Q1,4,4,11.98,5.92,1,AEM,AEM-19.9,14.18,8.66,0,,False
2018Q2,4,4,-2.54,9.51,0,,,-6.06,-6.06,0,,False
2018H2,2,2,-3.53,9.2,0,,,-3.53,-3.53,2,AU;GFI,True
2018Q3,4,4,-6.31,18.31,0,,,-10.88,-10.88,1,KGC,False
2018Q4,4,4,-4.38,22.22,0,,,-7.43,-7.43,0,,False
