quarter,AEM,AU,GFI,GOLD,KGC,NEM
2021-Q1,both,both,opstats_only,both,both,both
2021-Q2,both,both,opstats_only,both,both,both
2021-Q3,both,opstats_only,opstats_only,both,both,both
2021-Q4,both,both,both,both,both,both
2022-Q1,both,both,opstats_only,both,both,both
2022-Q2,both,both,both,both,both,both
2022-Q3,both,opstats_only,both,both,both,both
2022-Q4,both,both,both,both,both,both
2023-Q1,both,both,opstats_only,both,both,both
2023-Q2,both,both,both,both,both,both
2023-Q3,both,opstats_only,opstats_only,both,both,both
2023-Q4,both,both,both,both,both,both
2024-Q1,both,opstats_only,opstats_only,both,both,both
2024-Q2,both,both,both,both,both,both
2024-Q3,both,opstats_only,opstats_only,both,both,both
2024-Q4,both,both,both,both,both,both
2025-Q1,both,opstats_only,none,both,both,both
2025-Q2,both,both,both,both,both,both
2025-Q3,both,both,opstats_only,both,both,both
2025-Q4,both,both,both,both,both,both
2026-Q1,both,opstats_only,opstats_only,both,both,both
2026-Q2,both,both,none,both,both,both
