ticker,quarter,freq,gold_revenue,gold_oz_sold,realised_price,w_gold,L0a,L0b,aisc_margin,L1,L2,L2_n,published_aisc,aisc_comparable,aisc_basis_note,gold_cost_total,total_revenue,net_income_attributable,impairment_charges,aisc_ratio,is_outlier,L1_median_q,L1_dev,L1_scale_q,panel_n_q,sector_distress,sector_breach_share,sector_breach_n,sector_testable_n,recon_residual_pct,flags
AEM,2013Q1,Q,375.298,232989,1610.7970762568189,0.8926697461122396,20.030482443285074,5.675012249596834,36.739393495302394,-12.349127786141045,,0.0,1019.0,1019.0,"as published (by-product, per oz sold)",421.6440295988316,420.422,23.859,0.0,0.632606065046976,True,10.568339303064214,-22.91746708920526,5.503277599191927,4,False,0.0,0,4,0.0,GOLD_REV_ALLOCATED_FROM_FY|AISC_PER_PRODUCED|GOLD_REV_UNVALIDATED_2013
AEM,2013Q2,Q,307.28,230029,1335.831569063031,0.913371222029344,3.645209580838317,-7.246807599933418,15.633076347305385,-44.304907937085595,,1.0,1127.0,1127.0,"as published (by-product, per oz sold)",443.4201211090766,336.424,-24.38,0.0,0.8436692365269461,False,-10.681645864054065,-33.623262073031526,16.164188608609233,4,True,0.5,2,4,0.0,GOLD_REV_ALLOCATED_FROM_FY|AISC_PER_PRODUCED|GOLD_REV_UNVALIDATED_2013
AEM,2013Q3,Q,411.636,308843,1332.8325395103661,0.9264404033129277,25.276457841393857,10.647956427799784,37.42649768241845,-3.1801260684799444,,2.0,834.0,834.0,"as published (by-product, per oz sold)",424.72654374324816,444.32,47.311,0.0,0.6257350231758155,False,4.700731969707785,-7.88085803818773,15.451652006235323,4,False,0.25,1,4,0.0,GOLD_REV_ALLOCATED_FROM_FY|AISC_PER_PRODUCED|RESTATED|GOLD_REV_UNVALIDATED_2013
AEM,2013Q4,Q,406.141,326521,1243.8434281409159,0.9288743024425945,21.895844054158534,-103.67669929558136,,-4.569402888346398,-17.351478964637312,3.0,,,"as published (by-product, per oz sold)",424.69921858475897,437.24,-453.316,537.227,,False,-10.302791085712963,5.733388197366565,10.398732325822477,4,True,0.6666666666666666,2,3,,GOLD_REV_ALLOCATED_FROM_FY|NO_AISC_CHECK|RESTATED|GOLD_REV_UNVALIDATED_2013
AEM,2014Q1,Q,470.883,357759,1316.2016888464022,0.9575327339980112,36.793640883191784,22.13487281578471,39.29501787068126,19.10486121380507,-8.237393920026717,4.0,799.0,799.0,"as published (by-product, per oz sold)",380.92145637059826,491.767,108.852,0.0,0.6070498212931874,False,15.85796529780199,3.24689591600308,9.010339595524924,4,False,0.25,1,4,0.0,GOLD_REV_ALLOCATED_FROM_FY|AISC_PER_PRODUCED|GOLD_REV_BRIDGE_VALIDATED
AEM,2014Q2,Q,420.158,323424,1299.0934500841004,0.9597162135616295,24.65310668843626,8.605873995532146,26.256267404167023,4.4694075904115715,3.9561849618475744,4.0,958.0,958.0,"as published (by-product, per oz sold)",401.37942645627857,437.794,37.676,0.0,0.7374373259583298,False,11.771270310539276,-7.301862720127704,5.907860790861849,4,False,0.25,1,4,0.0,GOLD_REV_ALLOCATED_FROM_FY|AISC_PER_PRODUCED|GOLD_REV_BRIDGE_VALIDATED
AEM,2014Q3,Q,438.094,348570,1256.8322001319677,0.9454150733294777,11.619652403365485,-3.2478182430274414,15.740541984140389,-3.780610369835263,3.8060638865087446,4.0,1059.0,1059.0,"as published (by-product, per oz sold)",454.6566271936261,463.388,-15.05,0.0,0.8425945801585961,False,12.895686621104423,-16.676296990939687,9.596351181840133,4,False,0.25,1,4,0.0,GOLD_REV_ALLOCATED_FROM_FY|AISC_PER_PRODUCED|GOLD_REV_BRIDGE_VALIDATED
AEM,2014Q4,Q,478.792,395848,1209.5349730199468,0.9517024786817468,10.940032414910853,-4.2304557832594565,,1.4413084558604425,5.308741722560455,4.0,,,"as published (by-product, per oz sold)",471.89113041801664,503.09,-21.283,0.0,,False,2.8281747123933734,-1.3868662565329308,5.511544880256116,4,False,0.3333333333333333,1,3,,GOLD_REV_ALLOCATED_FROM_FY|NO_AISC_CHECK|GOLD_REV_BRIDGE_VALIDATED
AEM,2015Q1,Q,467.256,385100,1213.3367956374966,0.9662114657689476,17.99420446179396,5.943597548366818,33.73645282243566,11.69521416114712,3.4563299593959678,4.0,804.0,804.0,"as published (by-product, per oz sold)",412.6094101191904,483.596,28.743,0.0,0.6626354717756434,False,13.040848735063708,-1.3456345739165876,5.633246473789823,4,False,0.0,0,4,0.0,GOLD_REV_ALLOCATED_FROM_FY|AISC_PER_PRODUCED|GOLD_REV_BRIDGE_VALIDATED
AEM,2015Q2,Q,490.122,405972,1207.2803050456682,0.9608181780756663,14.056704249146126,1.9766363659531592,28.434184141907526,12.71453686364363,5.517612277703982,4.0,864.0,864.0,"as published (by-product, per oz sold)",427.8052576331726,510.109,10.083,0.0,0.7156581585809247,False,13.249038327814255,-0.5345014641706243,6.330450742834697,4,False,0.25,1,4,0.0,GOLD_REV_ALLOCATED_FROM_FY|AISC_PER_PRODUCED|GOLD_REV_BRIDGE_VALIDATED
