ticker,year,periods,freq,complete,gold_revenue,gold_oz_sold,realised_price,L0a,L1,aisc_margin,aisc_weighted
AEM,2013,4,Q,True,1500.4,1098382,1366.0,18.62,-14.31,49.73,687.0
AEM,2014,4,Q,True,1807.9,1425601,1268.0,21.03,5.47,46.63,677.0
AEM,2015,4,Q,True,1911.5,1645081,1162.0,16.09,9.56,30.28,810.0
AEM,2016,4,Q,True,2049.9,1630865,1257.0,19.75,8.46,34.4,825.0
AEM,2021,4,Q,True,3760.7,2080631,1807.0,33.22,12.78,41.38,1060.0
AEM,2022,4,Q,True,5656.7,3148593,1797.0,33.92,10.53,38.21,1110.0
AEM,2023,4,Q,True,6539.3,3364132,1944.0,32.33,16.84,39.34,1179.0
AEM,2024,4,Q,True,8170.4,3434094,2379.0,43.7,27.53,48.0,1237.0
AEM,2025,4,Q,True,11718.7,3400919,3446.0,57.45,26.08,61.55,1325.0
AEM,2026,2,Q,False,7772.1,1665156,4667.0,64.58,40.21,68.49,1471.0
GFI,2020,1,H,False,2054.2,1089900,1885.0,44.74,30.1,48.64,968.0
GFI,2021,2,H,True,3958.1,2203600,1796.0,37.16,11.28,40.82,1063.0
GFI,2022,2,H,True,4081.1,2272300,1796.0,33.4,8.67,38.47,1105.0
GFI,2023,2,H,True,4288.0,2200800,1948.0,33.22,12.41,33.55,1295.0
GFI,2024,2,H,True,5000.1,2065400,2421.0,40.17,14.66,32.71,1629.0
GFI,2025,2,H,True,8406.5,2409600,3489.0,53.46,32.63,52.83,1646.0
GOLD,2013,4,Q,True,10670.0,7174000,1407.0,47.35,6.38,34.86,917.0
GOLD,2014,4,Q,True,8744.0,6284000,1266.0,40.57,19.46,31.75,864.0
GOLD,2015,4,Q,True,7813.0,6083000,1157.0,33.19,21.93,28.53,827.0
GOLD,2016,4,Q,True,7908.0,5503000,1247.0,41.99,29.94,41.45,730.0
GOLD,2021,4,Q,True,10738.0,4468000,1790.0,39.67,19.6,42.73,1025.0
GOLD,2022,4,Q,True,9920.0,4141000,1795.0,31.69,7.14,31.92,1222.0
GOLD,2023,4,Q,True,10350.0,4024000,1948.0,31.0,10.47,31.44,1335.0
GOLD,2024,4,Q,True,11820.0,3798000,2397.0,39.15,16.68,38.15,1483.0
GOLD,2025,4,Q,True,15147.0,3318000,3501.0,51.7,26.09,53.22,1638.0
GOLD,2026,2,Q,False,9421.0,1549000,4612.0,57.9,30.15,61.19,1790.0
KGC,2013,4,Q,True,3567.6,2545736,1401.0,20.59,-6.63,22.37,1088.0
KGC,2014,4,Q,True,3372.7,2669278,1264.0,15.62,7.79,23.6,965.0
KGC,2015,4,Q,True,2969.7,2562219,1159.0,7.99,1.44,16.27,971.0
KGC,2016,4,Q,True,3369.5,2697912,1249.0,15.75,8.73,21.27,983.0
KGC,2021,4,Q,True,3621.5,2015068,1797.0,29.12,7.83,37.78,1118.0
KGC,2022,4,Q,True,3423.2,1908111,1794.0,22.54,7.8,29.89,1258.0
KGC,2023,4,Q,True,4035.4,2074989,1945.0,24.64,8.07,33.94,1285.0
KGC,2024,4,Q,True,5027.0,2100621,2393.0,33.47,22.2,42.96,1365.0
KGC,2025,4,Q,True,6936.9,2026570,3423.0,50.25,37.21,55.08,1538.0
KGC,2026,2,Q,False,4532.1,968979,4677.0,57.71,34.58,63.56,1704.0
NEM,2013,4,Q,True,7645.0,5489000,1393.0,30.46,5.65,16.73,1160.0
NEM,2014,4,Q,True,6592.0,5240000,1258.0,28.08,13.07,20.31,1002.0
NEM,2015,4,Q,True,6474.0,5677000,1140.0,27.57,11.94,21.35,897.0
NEM,2016,4,Q,True,6935.0,5583000,1242.0,29.76,18.98,28.68,886.0
NEM,2021,4,Q,True,10543.0,5897000,1788.0,37.75,21.22,45.81,969.0
NEM,2022,4,Q,True,10416.0,5812000,1792.0,30.29,11.2,33.19,1197.0
NEM,2023,4,Q,True,10593.0,5420000,1954.0,29.96,7.15,24.29,1480.0
NEM,2024,4,Q,True,15746.0,6539000,2408.0,41.05,21.39,41.54,1408.0
NEM,2025,4,Q,True,19304.0,5519000,3498.0,55.77,36.17,61.16,1358.0
NEM,2026,2,Q,False,11312.0,2427000,4661.0,61.7,39.2,71.67,1320.0
