ticker,quarter,freq,gold_revenue,gold_oz_sold,realised_price,w_gold,L0a,L0b,L0b_adj,aisc_margin,L1,L2,L2_n,published_aisc,aisc_comparable,aisc_basis_note,gold_cost_total,total_revenue,net_income_attributable,impairment_charges,aisc_ratio,is_outlier,L1_median_q,L1_dev,L1_scale_q,panel_n_q,L2_months,months,sector_distress,sector_breach_share,sector_breach_n,sector_testable_n,recon_residual_pct,recon_residual_calc,recon_basis_used,fidelity_vector,fidelity_grade,bias_pt_central,bias_pt_lo,bias_pt_hi,bias_price_ref,in_headline_aggregate,bias_note,flags
AEM,2017Q3,Q,555.225,432076,1285.0169877521548,0.9572712790168412,31.47192579584853,12.233451952386863,12.233451952386863,38.600033499932465,-13.422287816781244,-0.5977937219182926,3.0,789.0,789.0,by-product column substituted for the published headline,629.7488975307238,580.008,70.955,1.432,0.6139996650006754,True,11.176463593680875,-24.59875141046212,7.547253693426856,4,9.0,3,False,0.0,0,4,0.0,0.0,AISC,AAAEAAAEAAADD,C,0.0,0.0,0.0,1285.0,True,,GOLD_REV_ALLOCATED_FROM_FY;AISC_PER_PRODUCED;NOT_DISCLOSED;AISC_PER_PRODUCED_NOT_RESTATED
AEM,2018Q1,Q,544.264,405125,1343.4470842332614,0.9409250823342296,21.050078638307877,7.7675106105266805,7.7675106105266805,33.82694335837021,-7.915272947061128,,2.0,889.0,889.0,by-product column substituted for the published headline,587.3439811525927,578.435,44.93,0.0,0.6617305664162979,True,11.978358340536671,-19.8936312875978,5.920994994370222,4,6.0,3,False,0.0,0,4,0.0,0.0,AISC,AAAEAAAEAAADD,C,0.0,0.0,0.0,1343.0,True,,GOLD_REV_ALLOCATED_FROM_FY;AISC_PER_PRODUCED;NOT_DISCLOSED;AISC_PER_PRODUCED_NOT_RESTATED
AEM,2019Q2,Q,513.621,401770,1278.3955994723349,0.9753328358123928,21.401188814320278,5.273721969347393,5.273721969347393,25.453435509840915,-18.53944653076599,-30.675154629041256,3.0,953.0,953.0,by-product column substituted for the published headline,608.8434906657856,526.611,27.772,0.0,0.7454656449015908,True,5.647923042408745,-24.187369573174735,1.831909735259217,4,9.0,3,False,0.0,0,4,0.0,0.0,AISC,AAAEAAAEAAADD,C,0.0,0.0,0.0,1278.0,True,,GOLD_REV_ALLOCATED_FROM_FY;AISC_PER_PRODUCED;NOT_DISCLOSED;AISC_PER_PRODUCED_NOT_RESTATED
AEM,2020Q2,Q,537.285,315014,1705.5908626283276,0.9643020594965676,23.71664945047786,18.899089155112847,18.899089155112847,33.04373135300632,3.6582699920476904,2.2534334970261507,3.0,1142.0,1142.0,by-product column substituted for the published headline,517.6296640732265,557.175,105.301,0.0,0.6695626864699368,True,20.222012803601466,-16.563742811553777,4.2145756179814695,4,9.0,3,False,0.0,0,4,0.0,0.0,AISC,AAAEAAAEAAADD,C,0.0,0.0,0.0,1706.0,True,,GOLD_REV_ALLOCATED_FROM_FY;AISC_PER_PRODUCED;NOT_DISCLOSED;AISC_PER_PRODUCED_NOT_RESTATED
AEM,2020Q4,Q,905.304,488346,1853.8167610669482,0.9750723788515889,39.26824580472416,22.103230337078653,22.103230337078653,46.86637748203918,20.94085216616845,,2.0,985.0,985.0,by-product column substituted for the published headline,715.7256277055903,928.448,205.217,0.0,0.5313362251796082,True,33.784547831343374,-12.843695665174923,2.397543360907379,4,6.0,3,False,0.0,0,4,0.0,0.0,AISC,AAAEAAAEAAADD,C,0.0,0.0,0.0,1854.0,True,,GOLD_REV_ALLOCATED_FROM_FY;AISC_PER_PRODUCED;NOT_DISCLOSED;AISC_PER_PRODUCED_NOT_RESTATED
AU,2026Q2,Q,3034.0,682000,4448.680351906159,0.9774484536082474,53.82333553065261,32.28092783505155,32.28092783505155,53.40191166776533,27.34553921535315,37.333962236566805,3.0,2073.0,2073.0,published headline used -- no by-product figure this period,2204.3363402061855,3104.0,1002.0,7.0,0.4659808833223467,True,32.78976178548455,-5.4442225701314015,1.3541807052156654,5,9.0,3,False,0.0,0,5,0.0016,0.15436565364205587,AISC,AAADAAADAAADD,X,4.56,4.56,11.29,4449.0,False,price outside the two measured anchors; magnitude unquantified,ONLY_CONSOLIDATED|SUKARI_CONSOLIDATED_100PCT_AGA_OWNS_50PCT|ROYALTIES_IN_OPCOST|RECLAM_IN_FINANCE_COSTS|LEASE_INTEREST_IN_FINANCE_COSTS|NOT_DISCLOSED:capitalised_interest|NOT_DISCLOSED:published_aic|IMPAIR_LINE_INCL_DERECOG_DISPOSAL|CAPEXPL_INSIDE_CAPEX_NOT_SPLIT;AISC_BASIS_FALLBACK
GOLD,2016Q3,Q,2134.0,1386000,1333.3333333333333,0.9290378754897692,48.87535145267104,7.61863299956465,7.61863299956465,47.186125000000004,41.36514805383658,30.416944063418782,3.0,704.185,704.185,published headline used -- no by-product figure this period,1251.2677405311274,2297.0,175.0,49.0,0.52813875,True,19.084717422109904,22.280430631726674,4.743071687883315,4,9.0,3,False,0.0,0,4,0.0,0.0,AISC,AAADAAAAEAADD,X,2.55,2.55,5.42,1333.0,False,,ALLOCATION_SENSITIVE;TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST;CAPINT_DEDUPED;AISC_BASIS_FALLBACK
GOLD,2025Q2,Q,3280.0,770000,3296.103896103896,0.8910622113556099,49.20731707317073,22.032056506384134,22.032056506384134,48.90937746256895,17.989983170002848,20.930277589930753,3.0,1684.0,1684.0,published headline used -- no by-product figure this period,2689.9285520239064,3681.0,811.0,,0.5109062253743105,True,32.781491911296115,-14.791508741293267,1.549566857019001,5,9.0,3,False,0.0,0,5,-0.207,-0.20783847980997625,AISC,AAAAAAAAAAADD,C,0.0,0.0,0.0,3296.0,True,price outside the two measured anchors; magnitude unquantified,ONLY_CONSOLIDATED;KOZ_ROUNDED;NO_AIC_PUBLISHED;CAPINT_DEDUPED;AISC_BASIS_FALLBACK
GOLD,2026Q2,Q,4665.0,801000,4415.730337078652,0.8815192743764172,55.005359056806,22.996976568405138,22.996976568405138,57.741984732824434,19.7492301672366,34.344953721600255,3.0,1866.0,1866.0,published headline used -- no by-product figure this period,3743.6984126984125,5292.0,1217.0,,0.4225801526717557,True,32.78976178548455,-13.04053161824795,1.3541807052156654,5,9.0,3,False,0.0,0,5,-0.045,-0.04287245444801471,AISC,AAAAAAAAAAADD,C,0.0,0.0,0.0,4416.0,True,price outside the two measured anchors; magnitude unquantified,ONLY_CONSOLIDATED;KOZ_ROUNDED;NO_AIC_PUBLISHED;CAPINT_DEDUPED;AISC_BASIS_FALLBACK
NEM,2014Q4,Q,1705.0,1426000,1195.6521739130435,0.8453148239960337,31.906158357771265,0.7436787307882995,0.7436787307882995,22.469090909090905,15.96137619916245,12.089130923733386,3.0,927.0,927.0,published headline used -- no by-product figure this period,1432.85853580428,2017.0,15.0,8.0,0.775309090909091,True,1.4413084558604425,14.520067743302008,4.112335823871447,5,9.0,3,True,0.5,2,4,0.0001,0.01078748651564431,AISC,AAAEAAAAEAADD,C,0.0,0.0,0.0,1196.0,True,price outside the two measured anchors; magnitude unquantified,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;derived_q4;derived_from_cumulative;CASH_TAX_ALLOCATED_FROM_FY;AISC_BASIS_FALLBACK
