ticker,quarter,form,filing_date,report_date,cik,accession,exhibit_filename,bytes,sha256,url,url_index,local_path
AEM,2005Q1,6-K,2005-05-13,2005-05-13,2809,0001047469-05-014784,a2158340z6-k.htm,256651,a3fdca2bf2f2517337bd9d495c92374d54cf181e83d65cc8927daa8b36a439ac,https://www.sec.gov/Archives/edgar/data/2809/000104746905014784/a2158340z6-k.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746905014784/0001047469-05-014784-index.htm,data/raw/AEM/2005-Q1_0001047469-05-014784_a2158340z6-k.htm
AEM,2005Q2,6-K,2005-08-18,2005-06-30,2809,0001047469-05-021703,a2162223zex-99_1.htm,311475,297214c826674f778ead834a7cc979a3d3da1474668289e9c4b21577996efbcd,https://www.sec.gov/Archives/edgar/data/2809/000104746905021703/a2162223zex-99_1.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746905021703/0001047469-05-021703-index.htm,data/raw/AEM/2005-Q2_0001047469-05-021703_a2162223zex-99_1.htm
AEM,2005Q3,20-F,2006-03-28,2005-12-31,2809,0001047469-06-004056,a2168598z20-f.htm,1453776,127ac7906d56289c52ec32e0286ece284c77be4ddd5e719fa4a07532f372d504,https://www.sec.gov/Archives/edgar/data/2809/000104746906004056/a2168598z20-f.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746906004056/0001047469-06-004056-index.htm,data/raw/AEM/2005-Q4_0001047469-06-004056_a2168598z20-f.htm
AEM,2005Q4,20-F,2006-03-28,2005-12-31,2809,0001047469-06-004056,a2168598z20-f.htm,1453776,127ac7906d56289c52ec32e0286ece284c77be4ddd5e719fa4a07532f372d504,https://www.sec.gov/Archives/edgar/data/2809/000104746906004056/a2168598z20-f.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746906004056/0001047469-06-004056-index.htm,data/raw/AEM/2005-Q4_0001047469-06-004056_a2168598z20-f.htm
AEM,2006Q1,20-F,2007-03-30,2006-12-31,2809,0001047469-07-002366,a2176731z20-f.htm,1454912,98a07a6edd02bdc906cb7870b03c927d767196615d279ce8964485250f516d68,https://www.sec.gov/Archives/edgar/data/2809/000104746907002366/a2176731z20-f.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746907002366/0001047469-07-002366-index.htm,data/raw/AEM/2006-Q4_0001047469-07-002366_a2176731z20-f.htm
AEM,2006Q2,6-K,2006-08-14,2006-06-30,2809,0001047469-06-010907,a2172681zex-99_1.htm,253338,374e2eda3c0a5bf2b594d399d79d681d13d76c1ddf58749d6ea8da1f4d395c8d,https://www.sec.gov/Archives/edgar/data/2809/000104746906010907/a2172681zex-99_1.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746906010907/0001047469-06-010907-index.htm,data/raw/AEM/2006-Q2_0001047469-06-010907_a2172681zex-99_1.htm
AEM,2006Q3,20-F,2007-03-30,2006-12-31,2809,0001047469-07-002366,a2176731z20-f.htm,1454912,98a07a6edd02bdc906cb7870b03c927d767196615d279ce8964485250f516d68,https://www.sec.gov/Archives/edgar/data/2809/000104746907002366/a2176731z20-f.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746907002366/0001047469-07-002366-index.htm,data/raw/AEM/2006-Q4_0001047469-07-002366_a2176731z20-f.htm
AEM,2006Q4,20-F,2007-03-30,2006-12-31,2809,0001047469-07-002366,a2176731z20-f.htm,1454912,98a07a6edd02bdc906cb7870b03c927d767196615d279ce8964485250f516d68,https://www.sec.gov/Archives/edgar/data/2809/000104746907002366/a2176731z20-f.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746907002366/0001047469-07-002366-index.htm,data/raw/AEM/2006-Q4_0001047469-07-002366_a2176731z20-f.htm
AEM,2007Q1,6-K,2007-05-16,2007-05-14,2809,0001047469-07-004379,a2178016zex-99_1.htm,184503,812da51439cb65da8dc20d25ab907eb3292e35ea4e4191a8fb053dce712d185a,https://www.sec.gov/Archives/edgar/data/2809/000104746907004379/a2178016zex-99_1.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746907004379/0001047469-07-004379-index.htm,data/raw/AEM/2007-Q1_0001047469-07-004379_a2178016zex-99_1.htm
AEM,2007Q2,6-K,2007-08-14,2007-08-31,2809,0001047469-07-006473,a2179358zex-99_2.htm,261309,aff1ed3c01fe57d7113131ba6cc6c7f8983ca3a7453ca6c2c473716c70e74027,https://www.sec.gov/Archives/edgar/data/2809/000104746907006473/a2179358zex-99_2.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746907006473/0001047469-07-006473-index.htm,data/raw/AEM/2007-Q2_0001047469-07-006473_a2179358zex-99_2.htm
AEM,2007Q3,20-F,2008-03-28,2007-12-31,2809,0001047469-08-003612,a2183565z20-f.htm,1983199,c7a87e0a198893f0c68b64c06af1fa3c6ae6c8a2b9f5c3474cbccb3d36129b16,https://www.sec.gov/Archives/edgar/data/2809/000104746908003612/a2183565z20-f.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746908003612/0001047469-08-003612-index.htm,data/raw/AEM/2007-Q4_0001047469-08-003612_a2183565z20-f.htm
AEM,2007Q4,20-F,2008-03-28,2007-12-31,2809,0001047469-08-003612,a2183565z20-f.htm,1983199,c7a87e0a198893f0c68b64c06af1fa3c6ae6c8a2b9f5c3474cbccb3d36129b16,https://www.sec.gov/Archives/edgar/data/2809/000104746908003612/a2183565z20-f.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746908003612/0001047469-08-003612-index.htm,data/raw/AEM/2007-Q4_0001047469-08-003612_a2183565z20-f.htm
AEM,2008Q1,6-K,2008-05-13,2008-05-08,2809,0001104659-08-032653,a08-14181_16k.htm,535852,79905079f27c73caf021454a4115f813d06875dc0b4f269568b34103dbb98519,https://www.sec.gov/Archives/edgar/data/2809/000110465908032653/a08-14181_16k.htm,https://www.sec.gov/Archives/edgar/data/2809/000110465908032653/0001104659-08-032653-index.htm,data/raw/AEM/2008-Q1_0001104659-08-032653_a08-14181_16k.htm
AEM,2008Q1,6-K,2009-03-31,2008-03-31,2809,0001047469-09-003540,a2192067zex-99_3.htm,646328,75f02d47a8f2e470759bce328f0ad177b3b2d54f0a039e106f8023c71a0fcc2e,https://www.sec.gov/Archives/edgar/data/2809/000104746909003540/a2192067zex-99_3.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746909003540/0001047469-09-003540-index.htm,data/raw/AEM/2008-Q1_0001047469-09-003540_a2192067zex-99_3.htm
