ticker,quarter,royalties,opcost_ex_dda,royalty_caption,source_file,flags
AU,2020H2,99.000,1018.000,Royalties,data/raw/AU/2020-Q4_0001628280-21-002597_agahy2dec2020filing.htm,ROYALTIES_FIX_APPLIED;period_span=H2_2020_direct_six_months_ended_Dec_2020_column;old_opcost_ex_dda=1117.000;new=1018.000;delta=-99.000;comparative_column_in_same_note_showed_H2_2019=79_matching_the_2019H2_row_in_AU_2013_2020.csv_exactly
AU,2021Q1,40.000,537.000,Royalties,data/raw/AU/2021-Q1_0001628280-21-009573_au-20210331.htm,ROYALTIES_FIX_APPLIED;period_span=Q1_2021_direct_three_months_ended_Mar_2021_column;old_opcost_ex_dda=577.000;new=537.000;delta=-40.000
AU,2021Q2,40.000,570.000,Royalties,"data/raw/AU/2021-Q2_0001628280-21-015986_au-20210630.htm (H1 2021 cumulative=80);data/raw/AU/2021-Q1_0001628280-21-009573_au-20210331.htm (Q1 2021=40, subtracted)",ROYALTIES_FIX_APPLIED;DERIVED_FROM_CUMULATIVE:H1_2021(80)_minus_2021Q1(40)=40;matches_the_same_derivation_convention_the_original_pipeline_used_for_this_row's_other_fields(flag_DERIVED_FROM_CUMULATIVE:H1_2021_minus_2021Q1_already_on_the_published_row);old_opcost_ex_dda=610.000;new=570.000;delta=-40.000
AU,2021H2,82.000,1111.000,Royalties,data/raw/AU/2021-Q4_0001628280-22-003247_agahy2dec2021.htm,ROYALTIES_FIX_APPLIED;period_span=H2_2021_direct_six_months_ended_Dec_2021_column;old_opcost_ex_dda=1193.000;new=1111.000;delta=-82.000;comparative_column_showed_H2_2020=99_matching_the_2020H2_row_above_exactly
AU,2022H1,88.000,1220.000,Royalties,data/raw/AU/2022-Q2_0001628280-22-021242_au-20220630.htm,ROYALTIES_FIX_APPLIED;period_span=H1_2022_direct_six_months_ended_Jun_2022_column;old_opcost_ex_dda=1308.000;new=1220.000;delta=-88.000;comparative_column_showed_H1_2021=80_matching_2021Q1(40)+2021Q2(40)_exactly
AU,2022H2,97.000,1324.000,Royalties,data/raw/AU/2022-Q4_0001628280-23-004435_agahy2dec2022-jse.htm,ROYALTIES_FIX_APPLIED;period_span=H2_2022_direct_six_months_ended_Dec_2022_column;old_opcost_ex_dda=1421.000;new=1324.000;delta=-97.000;comparative_column_showed_H2_2021=82_matching_2021H2_row_above_exactly;FY2022_cumulative_independently_confirmed_as_185_in_both_the_FY2023_20-F_comparative_column_and_the_FY2024_20-F_comparative_column
AU,2023Q1,45.000,654.000,Royalties,data/raw/AU/2023-Q1_0001628280-23-023230_agaq1mar2023-6k.htm,ROYALTIES_FIX_APPLIED;period_span=Q1_2023_direct_three_months_ended_Mar_2023_column;this_is_the_LAST_period_with_a_standalone_native-HTML_quarterly_6-K_carrying_a_full_Cost_of_sales_note-from_Q3_2023_onward_AU's_quarterly_releases_switch_to_a_PDF-rendered_'earnings_release'_format_that_drops_this_note_(see_NOT_DISCLOSED_rows_below);old_opcost_ex_dda=699.000;new=654.000;delta=-45.000;SOURCING_NOTE:the_published_AU_mixed.csv_row_for_2023Q1_carries_flag_DERIVED_FROM_CUMULATIVE:H1_2023_minus_2023Q2_and_cites_the_2024_H1_earnings_release_as_a_second_source-this_fix_instead_sources_royalties_directly_from_the_ORIGINAL_contemporaneous_Q1_2023_filing_per_instruction_to_take_each_row's_figure_from_that_period's_own_filing;_comparative_column_in_this_same_note_showed_Q1_2022=43
AU,2023Q2,46.000,704.000,Royalties,"data/raw/AU/2023-Q2_0001628280-23-027417_agahy1jun2023-jse.htm (H1 2023 cumulative=91);data/raw/AU/2023-Q1_0001628280-23-023230_agaq1mar2023-6k.htm (Q1 2023=45, subtracted)","ROYALTIES_FIX_APPLIED;DERIVED_FROM_CUMULATIVE:H1_2023(91,_from_the_ORIGINAL_H1_2023_6-K,_not_a_later_restated_comparative)_minus_2023Q1(45,_from_the_ORIGINAL_Q1_2023_6-K)=46;old_opcost_ex_dda=750.000;new=704.000;delta=-46.000;SOURCING_NOTE:the_published_AU_mixed.csv_row_for_2023Q2_cites_only_the_2024_H1_earnings_release_(agahy1jun2024earningsrelea.htm)_as_source,_which_carries_no_'Royalties'_text_at_all(checked,_zero_hits)-this_fix_uses_the_ORIGINAL_H1_2023_filing_instead,_per_instruction;H1_2022_comparative_in_this_note=88_matching_the_2022H1_row_above_exactly"
AU,2023Q3,,702.000,,"data/raw/AU/2024-Q3_0001628280-24-045941_agaq3sep2024earningsrelease.htm (Q3 2023 comparative column checked; no 'Royalties' cost-of-sales line anywhere in this 8MB document, exhaustive regex search of every table-cell text node)","NOT_DISCLOSED:royalties;ROYALTIES_LINE_DROPPED_FROM_QUARTERLY_DISCLOSURE_FROM_Q3_2023:AU's_2023Q1_6-K_(agaq1mar2023-6k.htm)_was_the_last_quarterly_filing_with_a_native_Cost_of_sales_Note_3_carrying_a_standalone_Royalties_line;_from_Q3_2023_onward_(this_period_is_the_first_affected)_the_quarterly_'earnings_release'_exhibits_are_PDF-rendered_MD&A/highlights_documents_without_the_note-level_breakdown-confirmed_absent,_not_a_search_failure;H2_2023_CUMULATIVE_IS_derivable(FY2023_190_from_the_20-F_au-20231231.htm_minus_H1_2023_91_from_the_original_jse.htm=99)_but_cannot_be_split_into_Q3/Q4_without_interpolating,_which_was_explicitly_ruled_out;_reported_here_for_reference_only,_not_applied_to_this_row"
AU,2023Q4,,732.000,,"data/raw/AU/2024-Q4_0001628280-25-006206_agaq4dec2024earningsrelease.htm (Q4 2023/FY2023 comparative columns checked; no Royalties line);data/raw/AU/2023-Q4_0001628280-24-017820_au-20231231.htm (FY2023 20-F Cost of sales note DOES carry Royalties=190,_but_that_is_a_full-year_figure,_not_a_discrete_Q4_figure)","NOT_DISCLOSED:royalties;SAME_GAP_AS_2023Q3:no_discrete-quarter_Royalties_source_exists;_FY2023=190_and_H1_2023=91_give_an_H2_2023_cumulative_of_99_(see_2023Q3_row),_which_still_cannot_be_split_between_Q3_and_Q4_without_interpolating"
