ticker,quarter,period_start,period_end,basis,segment_revenue_gold,total_revenue,opcost_ex_dda,segment_dda,royalties,corporate_g_and_a,exploration_expensed,capitalised_exploration,capex_total,reclamation_accretion,lease_payments,net_interest,capitalised_interest,cash_tax_paid,gold_oz_sold,gold_oz_produced,aisc_denominator_oz,published_aisc,aisc_basis,published_aic,published_aisc_byproduct,published_aic_byproduct,byproduct_credits,net_income_attributable,recon_aisc,recon_residual_pct,flags,source_file,impairment_charges
GFI,2020H2,2020-07-01,2020-12-31,consolidated,2054.2,2137.8,721.7,356.2,57.2,45.3,13.8,,347.5,,41.9,64.6,,170.662,1089900,1149000,,968,"by-product (net of by-product revenue), per gold-only ounce sold, Total Group",1092,968,1092,83.6,567.5,967.7,-0.034,HALF_YEARLY_FILER|ONLY_CONSOLIDATED|GOLD_REV_NET_OF_BYPRODUCT_REVENUE|NOT_DISCLOSED:reclamation_accretion(bundled_in_finance_expense)|NOT_DISCLOSED:capitalised_exploration|CASH_TAX_SPLIT_FROM_COMBINED_ROYALTIES_AND_TAX|CAPINT_INCLUDED_IN_CAPEX|GEO_BASIS:gold_oz_produced_only(attributable_gold_equivalent)|GOLD_ONLY:segment_revenue_gold_and_gold_oz_sold|derived_from_cumulative:FY_minus_H1|H2_AISC_TABLE_DISCLOSED_IN_NEXT_H1_RELEASE|NOT_DISCLOSED:capitalised_interest|ASANKO_EQUITY_ACCOUNTED_EXCLUDED_FROM_REVENUE_AND_OUNCES,data/raw/GFI/2020-Q4_0001205613-21-000015_goldfields_results.htm;data/raw/GFI/2021-Q2_0001205613-21-000098_goldfields_results.htm;data/raw/GFI/2020-Q4_0001193125-21-101972_d187841d20f.htm,-12.5
GFI,2021H1,2021-01-01,2021-06-30,consolidated,1874.6,1983.6,831.6,314.9,54.1,50.1,33.4,,455.7,,41.4,32.1,5,234.433,1042200,1104000,,1093,"by-product (net of by-product revenue), per gold-only ounce sold, Total Group",1274,1093,1274,109.0,387.4,1092.7,-0.024,HALF_YEARLY_FILER|ONLY_CONSOLIDATED|GOLD_REV_NET_OF_BYPRODUCT_REVENUE|NOT_DISCLOSED:reclamation_accretion(bundled_in_finance_expense)|NOT_DISCLOSED:capitalised_exploration|CASH_TAX_SPLIT_FROM_COMBINED_ROYALTIES_AND_TAX|CAPINT_INCLUDED_IN_CAPEX|GEO_BASIS:gold_oz_produced_only(attributable_gold_equivalent)|GOLD_ONLY:segment_revenue_gold_and_gold_oz_sold|ASANKO_EQUITY_ACCOUNTED_EXCLUDED_FROM_REVENUE_AND_OUNCES,data/raw/GFI/2021-Q4_0001205613-22-000013_goldfields_results.htm;data/raw/GFI/2021-Q2_0001205613-21-000098_goldfields_results.htm;data/raw/GFI/2021-Q4_0001172724-22-000025_gfi-20211231.htm,4.2
GFI,2021H2,2021-07-01,2021-12-31,consolidated,2083.5,2211.6,830.1,398.3,58.3,36.6,27.2,,633.0,,32.4,50.8,8,214.367,1161400,1236000,,1036,"by-product (net of by-product revenue), per gold-only ounce sold, Total Group",1317,1036,1317,128.1,401.9,1034.6,-0.138,HALF_YEARLY_FILER|ONLY_CONSOLIDATED|GOLD_REV_NET_OF_BYPRODUCT_REVENUE|NOT_DISCLOSED:reclamation_accretion(bundled_in_finance_expense)|NOT_DISCLOSED:capitalised_exploration|CASH_TAX_SPLIT_FROM_COMBINED_ROYALTIES_AND_TAX|CAPINT_INCLUDED_IN_CAPEX|GEO_BASIS:gold_oz_produced_only(attributable_gold_equivalent)|GOLD_ONLY:segment_revenue_gold_and_gold_oz_sold|derived_from_cumulative:FY_minus_H1|H2_AISC_TABLE_DISCLOSED_IN_NEXT_H1_RELEASE|ASANKO_EQUITY_ACCOUNTED_EXCLUDED_FROM_REVENUE_AND_OUNCES,data/raw/GFI/2021-Q4_0001205613-22-000013_goldfields_results.htm;data/raw/GFI/2021-Q2_0001205613-21-000098_goldfields_results.htm;data/raw/GFI/2022-Q2_0001172724-22-000037_goldfieldsresultsforthes.htm;data/raw/GFI/2021-Q4_0001172724-22-000025_gfi-20211231.htm,91.0
GFI,2022H1,2022-01-01,2022-06-30,consolidated,2130.1,2235.3,922.6,377.8,58.6,26.2,32.8,,545.0,,33.1,34.7,17,300.791,1139500,1201000,,1148,"by-product (net of by-product revenue), per gold-only ounce sold, Total Group",1352,1148,1352,105.2,509.7,1148.1,0.007,HALF_YEARLY_FILER|ONLY_CONSOLIDATED|GOLD_REV_NET_OF_BYPRODUCT_REVENUE|NOT_DISCLOSED:reclamation_accretion(bundled_in_finance_expense)|NOT_DISCLOSED:capitalised_exploration|CASH_TAX_SPLIT_FROM_COMBINED_ROYALTIES_AND_TAX|CAPINT_INCLUDED_IN_CAPEX|GEO_BASIS:gold_oz_produced_only(attributable_gold_equivalent)|GOLD_ONLY:segment_revenue_gold_and_gold_oz_sold|ASANKO_EQUITY_ACCOUNTED_EXCLUDED_FROM_REVENUE_AND_OUNCES,data/raw/GFI/2022-Q4_0001172724-23-000002_goldfieldsmediarelease23.htm;data/raw/GFI/2022-Q2_0001172724-22-000037_goldfieldsresultsforthes.htm;data/raw/GFI/2025-Q4_0001628280-26-021904_gfi-20251231.htm,9.3
GFI,2022H2,2022-07-01,2022-12-31,consolidated,1951.0,2051.4,840.8,466.5,51.8,34.1,48.2,,524.3,,32.4,24.5,21,310.909,1132800,1198000,,1062,"by-product (net of by-product revenue), per gold-only ounce sold, Total Group",1289,1062,1289,100.4,201.3,1061.7,-0.029,HALF_YEARLY_FILER|ONLY_CONSOLIDATED|GOLD_REV_NET_OF_BYPRODUCT_REVENUE|NOT_DISCLOSED:reclamation_accretion(bundled_in_finance_expense)|NOT_DISCLOSED:capitalised_exploration|CASH_TAX_SPLIT_FROM_COMBINED_ROYALTIES_AND_TAX|CAPINT_INCLUDED_IN_CAPEX|GEO_BASIS:gold_oz_produced_only(attributable_gold_equivalent)|GOLD_ONLY:segment_revenue_gold_and_gold_oz_sold|derived_from_cumulative:FY_minus_H1|H2_AISC_TABLE_DISCLOSED_IN_NEXT_H1_RELEASE|ASANKO_EQUITY_ACCOUNTED_EXCLUDED_FROM_REVENUE_AND_OUNCES,data/raw/GFI/2022-Q4_0001172724-23-000002_goldfieldsmediarelease23.htm;data/raw/GFI/2022-Q2_0001172724-22-000037_goldfieldsresultsforthes.htm;data/raw/GFI/2023-Q2_0001172724-23-000032_gfimediarelease18august2.htm;data/raw/GFI/2025-Q4_0001628280-26-021904_gfi-20251231.htm,495.7
GFI,2023H1,2023-01-01,2023-06-30,consolidated,2149.5,2266.3,939.2,423.5,60.2,49.8,37.6,,507.5,,35.5,19.1,30,207.252,1110100,1154000,,1215,"by-product (net of by-product revenue), per gold-only ounce sold, Total Group",1398,1215,1398,116.8,457.8,1215.6,0.045,HALF_YEARLY_FILER|ONLY_CONSOLIDATED|GOLD_REV_NET_OF_BYPRODUCT_REVENUE|NOT_DISCLOSED:reclamation_accretion(bundled_in_finance_expense)|NOT_DISCLOSED:capitalised_exploration|CASH_TAX_SPLIT_FROM_COMBINED_ROYALTIES_AND_TAX|CAPINT_INCLUDED_IN_CAPEX|GEO_BASIS:gold_oz_produced_only(attributable_gold_equivalent)|GOLD_ONLY:segment_revenue_gold_and_gold_oz_sold|ASANKO_EQUITY_ACCOUNTED_EXCLUDED_FROM_REVENUE_AND_OUNCES|DISCONTINUED_OPS_PRESENTATION,data/raw/GFI/2023-Q4_0001172724-24-000004_gflmediarelease.htm;data/raw/GFI/2023-Q2_0001172724-23-000032_gfimediarelease18august2.htm;data/raw/GFI/2023-Q4_0001172724-24-000017_gfi-20231231.htm,0.2
GFI,2023H2,2023-07-01,2023-12-31,consolidated,2138.5,2234.4,1012.5,371.8,56.2,59.6,38.6,,547.2,,36.0,18.9,35,214.548,1090700,1150000,,1376,"by-product (net of by-product revenue), per gold-only ounce sold, Total Group",1628,1376,1628,95.9,245.5,1376.3,0.021,HALF_YEARLY_FILER|ONLY_CONSOLIDATED|GOLD_REV_NET_OF_BYPRODUCT_REVENUE|NOT_DISCLOSED:reclamation_accretion(bundled_in_finance_expense)|NOT_DISCLOSED:capitalised_exploration|CASH_TAX_SPLIT_FROM_COMBINED_ROYALTIES_AND_TAX|CAPINT_INCLUDED_IN_CAPEX|GEO_BASIS:gold_oz_produced_only(attributable_gold_equivalent)|GOLD_ONLY:segment_revenue_gold_and_gold_oz_sold|derived_from_cumulative:FY_minus_H1|H2_AISC_PER_OZ_DERIVED_FY_MINUS_H1|ASANKO_EQUITY_ACCOUNTED_EXCLUDED_FROM_REVENUE_AND_OUNCES|DISCONTINUED_OPS_PRESENTATION,data/raw/GFI/2023-Q4_0001172724-24-000004_gflmediarelease.htm;data/raw/GFI/2023-Q2_0001172724-23-000032_gfimediarelease18august2.htm;data/raw/GFI/2023-Q4_0001172724-24-000017_gfi-20231231.htm,156.2
GFI,2024H1,2024-01-01,2024-06-30,consolidated,2031.7,2123.9,1075.9,268.6,60.1,22.3,32.0,,600.8,,46.3,8.1,48,243.82,919000,918000,,1745,"by-product (net of by-product revenue), per gold-only ounce sold, Total Group",2060,1745,2060,92.2,389.0,1744.7,-0.016,HALF_YEARLY_FILER|ONLY_CONSOLIDATED|GOLD_REV_NET_OF_BYPRODUCT_REVENUE|NOT_DISCLOSED:reclamation_accretion(bundled_in_finance_expense)|NOT_DISCLOSED:capitalised_exploration|CASH_TAX_SPLIT_FROM_COMBINED_ROYALTIES_AND_TAX|CAPINT_INCLUDED_IN_CAPEX|GEO_BASIS:gold_oz_produced_only(attributable_gold_equivalent)|GOLD_ONLY:segment_revenue_gold_and_gold_oz_sold|DISCONTINUED_OPS_PRESENTATION,data/raw/GFI/2024-Q4_0001172724-25-000010_gfi-20241231.htm;data/raw/GFI/2024-Q2_0001172724-24-000043_mediarelease.htm;data/raw/GFI/2025-Q4_0001628280-26-010046_rr.htm,0.0
GFI,2024H2,2024-07-01,2024-12-31,consolidated,2968.4,3077.7,1140.4,358.8,87.6,36.1,66.4,,582.6,,45.9,13.6,58,281.68,1146400,1153000,,1536,"by-product (net of by-product revenue), per gold-only ounce sold, Total Group",1723,1536,1723,109.3,856.0,1535.4,-0.038,HALF_YEARLY_FILER|ONLY_CONSOLIDATED|GOLD_REV_NET_OF_BYPRODUCT_REVENUE|NOT_DISCLOSED:reclamation_accretion(bundled_in_finance_expense)|NOT_DISCLOSED:capitalised_exploration|CASH_TAX_SPLIT_FROM_COMBINED_ROYALTIES_AND_TAX|CAPINT_INCLUDED_IN_CAPEX|GEO_BASIS:gold_oz_produced_only(attributable_gold_equivalent)|GOLD_ONLY:segment_revenue_gold_and_gold_oz_sold|derived_from_cumulative:FY_minus_H1|H2_AISC_PER_OZ_DERIVED_FY_MINUS_H1|DISCONTINUED_OPS_PRESENTATION,data/raw/GFI/2024-Q4_0001172724-25-000010_gfi-20241231.htm;data/raw/GFI/2024-Q2_0001172724-24-000043_mediarelease.htm;data/raw/GFI/2025-Q4_0001628280-26-010046_rr.htm,3.5
GFI,2025H1,2025-01-01,2025-06-30,consolidated,3356.8,3477.5,1199.4,376.8,97.1,41.1,133.8,,664.7,,51.0,24.2,53,370.236,1086900,1136000,,1682,"by-product (net of by-product revenue), per gold-only ounce sold, Total Group",1957,1682,1957,120.7,1026.7,1681.8,-0.015,HALF_YEARLY_FILER|ONLY_CONSOLIDATED|GOLD_REV_NET_OF_BYPRODUCT_REVENUE|NOT_DISCLOSED:reclamation_accretion(bundled_in_finance_expense)|NOT_DISCLOSED:capitalised_exploration|CASH_TAX_SPLIT_FROM_COMBINED_ROYALTIES_AND_TAX|CAPINT_INCLUDED_IN_CAPEX|GEO_BASIS:gold_oz_produced_only(attributable_gold_equivalent)|GOLD_ONLY:segment_revenue_gold_and_gold_oz_sold|DISCONTINUED_OPS_PRESENTATION,data/raw/GFI/2025-Q4_0001628280-26-010046_rr.htm;data/raw/GFI/2025-Q2_0001172724-25-000025_unauditedh125results.htm;data/raw/GFI/2025-Q4_0001628280-26-021904_gfi-20251231.htm,0.1
