ticker,quarter,period_start,period_end,basis,segment_revenue_gold,segment_revenue_gold_consolidated,total_revenue,opcost_ex_dda,segment_dda,royalties,corporate_g_and_a,exploration_expensed,capex_total,reclamation_accretion,lease_payments,net_interest,capitalised_interest,cash_tax_paid,gold_oz_sold,gold_oz_produced,published_aisc,aisc_basis,published_aic,byproduct_credits,net_income_attributable,impairment_charges,recon_aisc,recon_residual_pct,flags,source_file
GOLD/B,2013Q1,2013-01-01,2013-03-31,attributable,2846,2962,3437,908.132,342,76.868,83,45,1219,45,0.0,178,90,320,1747000,1797000,933.028,by-product,1361.763,54,847,5,933.028,0.0,RESTATED,data/raw/GOLD/2014-Q1_0001193125-14-175492_d720637dex991.htm
GOLD/B,2013Q2,2013-04-01,2013-06-30,attributable,2560.965,2729,3201,943.105,381,59.895,67,43,1161,38,0.0,159,61,306,1815000,1811000,920.11,by-product,1277.686,51,-8555,9327,920.11,0.0,,data/raw/GOLD/2013-Q2_0001193125-13-316562_d573449dex991.htm
GOLD/B,2013Q3,2013-07-01,2013-09-30,attributable,2358.909,2511,2985,965.727,372,55.273,92,42,921,32,0.0,120,104,141,1783000,1845000,914.75,by-product,1182.838,42,172,13,914.75,0.0,,data/raw/GOLD/2013-Q3_0001193125-13-420779_d619300dex991.htm
GOLD/B,2013Q4,2013-10-01,2013-12-31,attributable,2327.126,2468,2888,1192.995,268,53.041,56,48,1190,34,0.0,339,42,342,1829000,,898.852,by-product,1316.566,43,-2830,3342,892.291,-0.73,derived_q4=true,"data/raw/GOLD/2013-Q4_0001193125-14-123835_d693534dex991.htm ; components: data/raw/GOLD/2014-Q1_0001193125-14-175492_d720637dex991.htm, data/raw/GOLD/2013-Q2_0001193125-13-316562_d573449dex991.htm, data/raw/GOLD/2013-Q3_0001193125-13-420779_d619300dex991.htm"
GOLD/B,2014Q1,2014-01-01,2014-03-31,attributable,2079.13,2279,2632,883.37,316,56.63,87,30,407,38,0.0,187,7,149,1618000,1588000,832.509,by-product,931.397,48,88,12,832.509,0.0,,data/raw/GOLD/2014-Q1_0001193125-14-175492_d720637dex991.htm
GOLD/B,2014Q2,2014-04-01,2014-06-30,attributable,1954.124,2150,2432,843.392,306,57.608,66,50,374,35,0.0,188,7,161,1516000,1485000,865.435,by-product,945.251,44,-269,512,865.435,0.0,,data/raw/GOLD/2014-Q2_0001193125-14-291244_d769406dex991.htm
GOLD/B,2014Q3,2014-07-01,2014-09-30,attributable,2027.73,2235,2598,865.458,312,61.542,66,43,465,34,0.0,188,8,70,1578000,1649000,833.967,by-product,974.651,45,125,18,833.967,0.0,,data/raw/GOLD/2014-Q3_0001193125-14-391891_d811218dex991.htm
GOLD/B,2014Q4,2014-10-01,2014-12-31,attributable,1892.016,,2577,1106.76,333,55.02,81,50,551,32,0.0,188,8,135,1572000,,924.3,by-product,1093.511,46,-2851,3564,922.392,-0.206,derived_q4=true,"data/raw/GOLD/2014-Q4_0001193125-15-109743_d896700dex991.htm ; components: data/raw/GOLD/2014-Q1_0001193125-14-175492_d720637dex991.htm, data/raw/GOLD/2014-Q2_0001193125-14-291244_d769406dex991.htm, data/raw/GOLD/2014-Q3_0001193125-14-391891_d811218dex991.htm"
GOLD/B,2015Q1,2015-01-01,2015-03-31,attributable,1688.315,1919,2245,840.525,328,48.475,55,41,393,37,0.0,194,9,171,1385000,1390000,927.076,by-product,1023.827,39,57,5,927.076,0.0,,data/raw/GOLD/2015-Q1_0001193125-15-153118_d916136dex991.htm
GOLD/B,2015Q2,2015-04-01,2015-06-30,attributable,1744.54,1921,2231,869.088,339,46.912,56,49,335,40,0.0,192,8,29,1466000,1445000,895.634,by-product,954.98,32,-9,35,895.634,0.0,,data/raw/GOLD/2015-Q2_0001193125-15-280828_d88405dex991.htm
GOLD/B,2015Q3,2015-07-01,2015-09-30,attributable,1795.5,1992,2315,852.544,349,57.456,21,29,293,41,0.0,205,0,84,1596000,1663000,771.303,by-product,813.91,41,-264,452,771.303,0.0,,data/raw/GOLD/2015-Q3_0001193125-15-357964_d69142dex991.htm
GOLD/B,2015Q4,2015-10-01,2015-12-31,attributable,1806.645,,2238,1009.855,425,53.988,48,34,183,26,0.0,,0,8,1636000,,733.496,by-product,718.826,57,-2622,3405,745.721,1.667,derived_q4=true,"data/raw/GOLD/2015-Q4_0001193125-16-518731_d139103dex991.htm ; components: data/raw/GOLD/2015-Q1_0001193125-15-153118_d916136dex991.htm, data/raw/GOLD/2015-Q2_0001193125-15-280828_d88405dex991.htm, data/raw/GOLD/2015-Q3_0001193125-15-357964_d69142dex991.htm"
GOLD/B,2016Q1,2016-01-01,2016-03-31,attributable,1542.386,1768,1930,685.65,329.112,36.568,48.322,5.224,137.13,9.142,0.0,211,0,118,1306000,1280000,706,by-product,758,31.344,-83,1,706,0.0,NOT_DISCLOSED,data/raw/GOLD/2016-Q1_0001193125-16-556759_d130374dex991.htm
GOLD/B,2016Q2,2016-04-01,2016-06-30,attributable,1626.628,1872,2012,701.556,326.876,45.22,87.856,9.044,152.456,14.212,0.0,162,0,128,1292000,1340000,782,by-product,849,34.884,138,4,782,0.0,ALLOCATION_SENSITIVE;NOT_DISCLOSED,data/raw/GOLD/2016-Q2_0001193125-16-662262_d406630dex991.htm
GOLD/B,2016Q3,2016-07-01,2016-09-30,attributable,1847.538,2134,2297,718,373,,71,44,196,18,0.0,189,0,56,1386000,1381000,704.185,by-product,751.082,59,175,49,704.185,0.0,ALLOCATION_SENSITIVE;NOT_DISCLOSED,data/raw/GOLD/2016-Q3_0001193125-16-749485_d246071dex991.htm
GOLD/B,2016Q4,2016-10-01,2016-12-31,attributable,1847.448,,2319,897.794,474.012,,48.822,178.732,346.414,28.646,0.0,,0,185,1519000,,731.152,by-product,813.788,58.772,425,-304,731.152,0.0,ALLOCATION_SENSITIVE;NOT_DISCLOSED;derived_q4=true,"data/raw/GOLD/2016-Q4_0001193125-17-095834_d334629dex991.htm ; components: data/raw/GOLD/2016-Q1_0001193125-16-556759_d130374dex991.htm, data/raw/GOLD/2016-Q2_0001193125-16-662262_d406630dex991.htm, data/raw/GOLD/2016-Q3_0001193125-16-749485_d246071dex991.htm"
