ticker,quarter,capex_total,exploration_expensed,capex_basis_note,exploration_caption,source_file,flags
GOLD/B,2013Q1,1430.0,127.705,"discrete three-month column, Consolidated Statements of Cash Flow (2013-Q1_..._d523973dex991.htm)","Exploration, evaluation and project expenses [RESTATED to the broad caption. FY2013 audited total 680 from the FY2014 annual note 8 (2014-Q4_0001193125-15-056456_d875138dex991.htm), column order confirmed by the impairment line beside it, 4,106 FY2014 vs 12,687 FY2013. Narrow 'Exploration and evaluation expense' was 208 = the four quarters previously carried here (54/58/48/48). The 472 difference is advanced project cost that sat in Other expense (note 10A) until Barrick reclassified it in FY2014. Quarterly split: narrow read per filing; project care and maintenance 32/37/28/20 and severance and demobilisation 13/63/11/174 read from note 10A of the 2013 interims (Q1 by subtraction from the Q2 filing's H1 column, Q3 reconciles against the 9M column exactly, Q4 by subtraction from the FY totals); severance scaled 235/261 per note 8's Pascua-Lama attribution; residual 120 that no filing splits spread evenly, which is the only estimated part and is flagged TIERC.]",data/raw/GOLD/2013-Q1_0001193125-13-172800_d523973dex991.htm,NARROW_CAPTION_PRE_BROAD_DEFINITION
GOLD/B,2013Q2,1556.0,181.724,"discrete three-month column, Consolidated Statements of Cash Flow","Exploration, evaluation and project expenses [RESTATED to the broad caption. FY2013 audited total 680 from the FY2014 annual note 8 (2014-Q4_0001193125-15-056456_d875138dex991.htm), column order confirmed by the impairment line beside it, 4,106 FY2014 vs 12,687 FY2013. Narrow 'Exploration and evaluation expense' was 208 = the four quarters previously carried here (54/58/48/48). The 472 difference is advanced project cost that sat in Other expense (note 10A) until Barrick reclassified it in FY2014. Quarterly split: narrow read per filing; project care and maintenance 32/37/28/20 and severance and demobilisation 13/63/11/174 read from note 10A of the 2013 interims (Q1 by subtraction from the Q2 filing's H1 column, Q3 reconciles against the 9M column exactly, Q4 by subtraction from the FY totals); severance scaled 235/261 per note 8's Pascua-Lama attribution; residual 120 that no filing splits spread evenly, which is the only estimated part and is flagged TIERC.]",data/raw/GOLD/2013-Q2_0001193125-13-316562_d573449dex991.htm,NARROW_CAPTION_PRE_BROAD_DEFINITION
GOLD/B,2013Q3,1205.0,115.904,"discrete three-month column, Consolidated Statements of Cash Flow","Exploration, evaluation and project expenses [RESTATED to the broad caption. FY2013 audited total 680 from the FY2014 annual note 8 (2014-Q4_0001193125-15-056456_d875138dex991.htm), column order confirmed by the impairment line beside it, 4,106 FY2014 vs 12,687 FY2013. Narrow 'Exploration and evaluation expense' was 208 = the four quarters previously carried here (54/58/48/48). The 472 difference is advanced project cost that sat in Other expense (note 10A) until Barrick reclassified it in FY2014. Quarterly split: narrow read per filing; project care and maintenance 32/37/28/20 and severance and demobilisation 13/63/11/174 read from note 10A of the 2013 interims (Q1 by subtraction from the Q2 filing's H1 column, Q3 reconciles against the 9M column exactly, Q4 by subtraction from the FY totals); severance scaled 235/261 per note 8's Pascua-Lama attribution; residual 120 that no filing splits spread evenly, which is the only estimated part and is flagged TIERC.]",data/raw/GOLD/2013-Q3_0001193125-13-420779_d619300dex991.htm,NARROW_CAPTION_PRE_BROAD_DEFINITION
GOLD/B,2013Q4,1310.0,254.667,FY-minus-9M: FY2013 Consolidated Statements of Cash Flow (5501) minus discrete Q1+Q2+Q3 (4191),"Exploration, evaluation and project expenses [RESTATED to the broad caption. FY2013 audited total 680 from the FY2014 annual note 8 (2014-Q4_0001193125-15-056456_d875138dex991.htm), column order confirmed by the impairment line beside it, 4,106 FY2014 vs 12,687 FY2013. Narrow 'Exploration and evaluation expense' was 208 = the four quarters previously carried here (54/58/48/48). The 472 difference is advanced project cost that sat in Other expense (note 10A) until Barrick reclassified it in FY2014. Quarterly split: narrow read per filing; project care and maintenance 32/37/28/20 and severance and demobilisation 13/63/11/174 read from note 10A of the 2013 interims (Q1 by subtraction from the Q2 filing's H1 column, Q3 reconciles against the 9M column exactly, Q4 by subtraction from the FY totals); severance scaled 235/261 per note 8's Pascua-Lama attribution; residual 120 that no filing splits spread evenly, which is the only estimated part and is flagged TIERC.]",data/raw/GOLD/2013-Q4_0001193125-14-054305_d673169dex991.htm; data/raw/GOLD/2013-Q1_0001193125-13-172800_d523973dex991.htm; data/raw/GOLD/2013-Q2_0001193125-13-316562_d573449dex991.htm; data/raw/GOLD/2013-Q3_0001193125-13-420779_d619300dex991.htm,derived_q4;derived_from_cumulative;NARROW_CAPTION_PRE_BROAD_DEFINITION
GOLD/B,2014Q1,616.0,100.0,"discrete three-month column, Consolidated Statements of Cash Flow (2014-Q1_..._d720637dex991.htm)","Exploration, evaluation and project expenses (note 8) [sourced as the Q1-2014 comparator column in the 2015-Q1 filing, 2015-Q1_..._d916136dex991.htm, since the original 2014-Q1 filing itself still used the narrow 'Exploration and evaluation (note 8)' caption = 32]",data/raw/GOLD/2014-Q1_0001193125-14-175492_d720637dex991.htm; data/raw/GOLD/2015-Q1_0001193125-15-153118_d916136dex991.htm,BROAD_CAPTION_VIA_NEXTYEAR_COMPARATOR
GOLD/B,2014Q2,616.0,105.0,"discrete three-month column, Consolidated Statements of Cash Flow (2014-Q2_..._d769406dex991.htm)","Exploration, evaluation and project expenses (note 8) [Q2-2014 comparator column in 2015-Q2 filing; original 2014-Q2 filing's own narrow caption value was 53]",data/raw/GOLD/2014-Q2_0001193125-14-291244_d769406dex991.htm; data/raw/GOLD/2015-Q2_0001193125-15-280828_d88405dex991.htm,BROAD_CAPTION_VIA_NEXTYEAR_COMPARATOR
GOLD/B,2014Q3,653.0,102.0,"discrete three-month column, Consolidated Statements of Cash Flow (2014-Q3_..._d811218dex991.htm)","Exploration, evaluation and project expenses (note 8) [Q3-2014 comparator column in 2015-Q3 filing; original 2014-Q3 filing's own narrow caption value was 45]",data/raw/GOLD/2014-Q3_0001193125-14-391891_d811218dex991.htm; data/raw/GOLD/2015-Q3_0001193125-15-357964_d69142dex991.htm,BROAD_CAPTION_VIA_NEXTYEAR_COMPARATOR
GOLD/B,2014Q4,547.0,85.0,"FY-minus-9M: FY2014 Consolidated Statements of Cash Flow (2432) minus discrete Q1+Q2+Q3 (1885, from original 2014 quarterly filings)","Exploration, evaluation and project expenses (notes 5 and 8) [FY2014, native caption in the FY2014 annual report itself] minus broad 9M-2014 (307, from 2015 comparators)",data/raw/GOLD/2014-Q4_0001193125-15-056456_d875138dex991.htm; data/raw/GOLD/2014-Q1_0001193125-14-175492_d720637dex991.htm; data/raw/GOLD/2014-Q2_0001193125-14-291244_d769406dex991.htm; data/raw/GOLD/2014-Q3_0001193125-14-391891_d811218dex991.htm; data/raw/GOLD/2015-Q1_0001193125-15-153118_d916136dex991.htm; data/raw/GOLD/2015-Q2_0001193125-15-280828_d88405dex991.htm; data/raw/GOLD/2015-Q3_0001193125-15-357964_d69142dex991.htm,derived_q4;derived_from_cumulative;BROAD_CAPTION_VIA_NEXTYEAR_COMPARATOR
GOLD/B,2015Q1,514.0,86.0,"discrete three-month column, Consolidated Statements of Cash Flow (2015-Q1_..._d916136dex991.htm)","Exploration, evaluation and project expenses (note 8)",data/raw/GOLD/2015-Q1_0001193125-15-153118_d916136dex991.htm,
GOLD/B,2015Q2,499.0,97.0,"discrete three-month column, Consolidated Statements of Cash Flow (2015-Q2_..._d88405dex991.htm)","Exploration, evaluation and project expenses (note 8)",data/raw/GOLD/2015-Q2_0001193125-15-280828_d88405dex991.htm,
GOLD/B,2015Q3,389.0,86.0,"discrete three-month column, Consolidated Statements of Cash Flow (2015-Q3_..._d69142dex991.htm)","Exploration, evaluation and project expenses (note 8)",data/raw/GOLD/2015-Q3_0001193125-15-357964_d69142dex991.htm,
GOLD/B,2015Q4,311.0,86.0,FY-minus-9M: FY2015 Consolidated Statements of Cash Flow (1713) minus discrete Q1+Q2+Q3 (1402),"Exploration, evaluation and project expenses (notes 5 and 8) [FY2015]",data/raw/GOLD/2015-Q4_0001193125-16-468373_d147223dex991.htm; data/raw/GOLD/2015-Q1_0001193125-15-153118_d916136dex991.htm; data/raw/GOLD/2015-Q2_0001193125-15-280828_d88405dex991.htm; data/raw/GOLD/2015-Q3_0001193125-15-357964_d69142dex991.htm,derived_q4;derived_from_cumulative
GOLD/B,2016Q1,270.0,55.0,"discrete three-month column, Consolidated Statements of Cash Flow (2016-Q1_..._d130374dex991.htm)","Exploration, evaluation and project expenses",data/raw/GOLD/2016-Q1_0001193125-16-556759_d130374dex991.htm,
GOLD/B,2016Q2,253.0,56.0,"discrete three-month column, Consolidated Statements of Cash Flow (2016-Q2_..._d406630dex991.htm)","Exploration, evaluation and project expenses",data/raw/GOLD/2016-Q2_0001193125-16-662262_d406630dex991.htm,
GOLD/B,2016Q3,277.0,44.0,"discrete three-month column, Consolidated Statements of Cash Flow (2016-Q3_..._d246071dex991.htm)","Exploration, evaluation and project expenses",data/raw/GOLD/2016-Q3_0001193125-16-749485_d246071dex991.htm,
GOLD/B,2016Q4,326.0,82.0,FY-minus-9M: FY2016 Consolidated Statements of Cash Flow (1126) minus discrete Q1+Q2+Q3 (800),"Exploration, evaluation and project expenses (notes 5 and 8) [FY2016]",data/raw/GOLD/2016-Q4_0001193125-17-045469_d272688dex991.htm; data/raw/GOLD/2016-Q1_0001193125-16-556759_d130374dex991.htm; data/raw/GOLD/2016-Q2_0001193125-16-662262_d406630dex991.htm; data/raw/GOLD/2016-Q3_0001193125-16-749485_d246071dex991.htm,derived_q4;derived_from_cumulative
