ticker,quarter,period_start,period_end,basis,segment_revenue_gold,segment_revenue_gold_consolidated,total_revenue,opcost_ex_dda,segment_dda,royalties,corporate_g_and_a,exploration_expensed,capex_total,reclamation_accretion,lease_payments,net_interest,capitalised_interest,capitalised_interest_capexnote,cash_tax_paid,gold_oz_sold,gold_oz_produced,published_aisc,aisc_basis,published_aic,byproduct_credits,net_income_attributable,impairment_charges,recon_aisc,recon_residual_pct,flags,source_file
GOLD,2013Q1,2013-01-01,2013-03-31,attributable,2846.0,2962.0,3437.0,908.132,342.0,76.868,83.0,45.0,1219.0,45.0,,178.0,90,47.0,320.0,1747000,1797000.0,933.028,by-product,1361.763,54.0,847.0,5.0,933.028,0.0,RESTATED;TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST,data/raw/GOLD/2014-Q1_0001193125-14-175492_d720637dex991.htm
GOLD,2013Q2,2013-04-01,2013-06-30,attributable,2561.0,2729.0,3201.0,943.105,381.0,59.895,67.0,43.0,1161.0,38.0,,159.0,61,91.0,306.0,1815000,1811000.0,920.11,by-product,1277.686,51.0,-8555.0,9327.0,920.11,0.0,TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST,data/raw/GOLD/2013-Q2_0001193125-13-316562_d573449dex991.htm
GOLD,2013Q3,2013-07-01,2013-09-30,attributable,2359.0,2511.0,2985.0,965.727,372.0,55.273,92.0,42.0,921.0,32.0,,120.0,104,104.0,141.0,1783000,1845000.0,914.75,by-product,1182.838,42.0,172.0,13.0,914.75,0.0,TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST,data/raw/GOLD/2013-Q3_0001193125-13-420779_d619300dex991.htm
GOLD,2013Q4,2013-10-01,2013-12-31,attributable,2327.0,2468.0,2888.0,1192.995,268.0,53.041,56.0,48.0,1190.0,34.0,,339.0,42,,342.0,1829000,,898.852,by-product,1316.566,43.0,-2830.0,3342.0,892.291,-0.73,derived_q4=true;TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST,"data/raw/GOLD/2013-Q4_0001193125-14-123835_d693534dex991.htm ; components: data/raw/GOLD/2014-Q1_0001193125-14-175492_d720637dex991.htm, data/raw/GOLD/2013-Q2_0001193125-13-316562_d573449dex991.htm, data/raw/GOLD/2013-Q3_0001193125-13-420779_d619300dex991.htm"
GOLD,2014Q1,2014-01-01,2014-03-31,attributable,2079.0,2279.0,2632.0,883.37,316.0,56.63,87.0,30.0,407.0,38.0,,187.0,7,7.0,149.0,1618000,1588000.0,832.509,by-product,931.397,48.0,88.0,12.0,832.509,0.0,TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST,data/raw/GOLD/2014-Q1_0001193125-14-175492_d720637dex991.htm
GOLD,2014Q2,2014-04-01,2014-06-30,attributable,1953.0,2150.0,2432.0,843.392,306.0,57.608,66.0,50.0,374.0,35.0,,188.0,7,7.0,161.0,1516000,1485000.0,865.435,by-product,945.251,44.0,-269.0,512.0,865.435,0.0,TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST,data/raw/GOLD/2014-Q2_0001193125-14-291244_d769406dex991.htm
GOLD,2014Q3,2014-07-01,2014-09-30,attributable,2028.0,2235.0,2598.0,865.458,312.0,61.542,66.0,43.0,465.0,34.0,,188.0,8,8.0,70.0,1578000,1649000.0,833.967,by-product,974.651,45.0,125.0,18.0,833.967,0.0,TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST,data/raw/GOLD/2014-Q3_0001193125-14-391891_d811218dex991.htm
GOLD,2014Q4,2014-10-01,2014-12-31,attributable,1893.0,2080.0,2577.0,1106.76,333.0,55.02,81.0,50.0,551.0,32.0,,188.0,8,,135.0,1572000,,924.3,by-product,1093.511,46.0,-2851.0,3564.0,922.392,-0.206,derived_q4=true;TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST,"data/raw/GOLD/2014-Q4_0001193125-15-109743_d896700dex991.htm ; components: data/raw/GOLD/2014-Q1_0001193125-14-175492_d720637dex991.htm, data/raw/GOLD/2014-Q2_0001193125-14-291244_d769406dex991.htm, data/raw/GOLD/2014-Q3_0001193125-14-391891_d811218dex991.htm"
GOLD,2015Q1,2015-01-01,2015-03-31,attributable,1689.0,1919.0,2245.0,840.525,328.0,48.475,55.0,41.0,393.0,37.0,,194.0,9,9.0,171.0,1385000,1390000.0,927.076,by-product,1023.827,39.0,57.0,5.0,927.076,0.0,TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST,data/raw/GOLD/2015-Q1_0001193125-15-153118_d916136dex991.htm
GOLD,2015Q2,2015-04-01,2015-06-30,attributable,1744.0,1921.0,2231.0,869.088,339.0,46.912,56.0,49.0,335.0,40.0,,192.0,8,8.0,29.0,1466000,1445000.0,895.634,by-product,954.98,32.0,-9.0,35.0,895.634,0.0,TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST,data/raw/GOLD/2015-Q2_0001193125-15-280828_d88405dex991.htm
