ticker,quarter,period_start,period_end,basis,segment_revenue_gold,total_revenue,opcost_ex_dda,segment_dda,royalties,corporate_g_and_a,exploration_expensed,capitalised_exploration,capex_total,capex_note,reclamation_accretion,lease_payments,net_interest,capitalised_interest,cash_tax_paid,gold_oz_sold,gold_oz_produced,aisc_denominator_oz,published_aisc,aisc_basis,published_aic,byproduct_credits,net_income_attributable,recon_aisc,recon_residual_pct,flags,source_file,impairment_charges,realised_gold_price,published_aisc_byproduct,fy_audited_gold_revenue,fy_audited_opcost_ex_dda,fy_audited_capex_total,fy_audited_cash_tax_paid,capex_ppe_additions,cash_tax_paid_alt
AEM,2005Q1,2005-01-01,2005-03-31,attributable,36.505,61.766,30.973,7.211,,3.749,2.763,,15.182,"cash-flow 'Additions to mining properties' (2005-2011) / 'Additions to property, plant and mine development' (2011+); US GAAP; absolute value of cash outflow",,,3.200,,-2.527,70137,55310,70137,,"AISC does not exist pre-2013H1 (WGC guidance June 2013); no literal ""all-in sustaining cost"" found in this filing",,25.261,10.449,,,GAAP_BASIS:US_GAAP|NO_AISC_CHECK|TIERC:segment_revenue_gold:DERIVED_TOTAL_MINUS_BYPRODUCT_CREDITS|TIERB:net_interest:NETTED_INTEREST_AND_SUNDRY_INCOME|TIERAEQ:reclamation_accretion:BUNDLED_IN_OPCOST_PRODUCTION_COSTS_LINE|TIERAEQ:royalties:BUNDLED_IN_OPCOST_NO_SEPARATE_LINE_DISCLOSED|TIERAEQ:lease_payments:PRE_IFRS16_ASC842_IN_OPCOST|SOLD_OZ_DISCLOSED_CONTRA_PRE2013_ANCHORS_ONLY_PRODUCED_FINDING|SRC_DISCRETE_QUARTERLY_MDA_PRESS_RELEASE|REALISED_PRICE_CAPTION:Realized_prices_per_unit_of_production:_Gold_(per_ounce),data/raw/AEM/2005-Q1_0001047469-05-014784_a2158340z6-k.htm,,430.0,,,,,,15.182,-2.527
AEM,2005Q2,2005-04-01,2005-06-30,attributable,26.136,49.572,30.268,5.983,,2.412,3.364,,14.020,"cash-flow 'Additions to mining properties' (2005-2011) / 'Additions to property, plant and mine development' (2011+); US GAAP; absolute value of cash outflow",,,2.401,,-4.682,60550,61771,60550,,"AISC does not exist pre-2013H1 (WGC guidance June 2013); no literal ""all-in sustaining cost"" found in this filing",,23.436,12.794,,,GAAP_BASIS:US_GAAP|NO_AISC_CHECK|TIERC:segment_revenue_gold:DERIVED_TOTAL_MINUS_BYPRODUCT_CREDITS|TIERB:net_interest:NETTED_INTEREST_AND_SUNDRY_INCOME|TIERAEQ:reclamation_accretion:BUNDLED_IN_OPCOST_PRODUCTION_COSTS_LINE|TIERAEQ:royalties:BUNDLED_IN_OPCOST_NO_SEPARATE_LINE_DISCLOSED|TIERAEQ:lease_payments:PRE_IFRS16_ASC842_IN_OPCOST|SOLD_OZ_DISCLOSED_CONTRA_PRE2013_ANCHORS_ONLY_PRODUCED_FINDING|SRC_DISCRETE_QUARTERLY_MDA_PRESS_RELEASE|REALISED_PRICE_CAPTION:Realized_prices_per_unit_of_production:_Gold_(per_ounce),data/raw/AEM/2005-Q2_0001047469-05-021703_a2162223zex-99_1.htm,,427.0,,,,,,14.020,-4.682
AEM,2005Q3,2005-07-01,2005-09-30,attributable,,58.608,32.548,6.276,,,,,,NOT_DISCLOSED this quarter: FY 20-F 'Consolidated/Summarized Quarterly Data' table gives revenue/production-costs/amortization/net-income/gold-oz by quarter but NOT a quarterly capex line,,,,,,,61704,,,"AISC does not exist pre-2013H1 (WGC guidance June 2013); no literal ""all-in sustaining cost"" found in this filing",,,2.057,,,GAAP_BASIS:US_GAAP|NO_AISC_CHECK|NOT_DISCLOSED:segment_revenue_gold_component_byproduct_credits|TIERAEQ:reclamation_accretion:BUNDLED_IN_OPCOST_PRODUCTION_COSTS_LINE|TIERAEQ:royalties:BUNDLED_IN_OPCOST_NO_SEPARATE_LINE_DISCLOSED|TIERAEQ:lease_payments:PRE_IFRS16_ASC842_IN_OPCOST|NOT_DISCLOSED:gold_oz_sold|NOT_DISCLOSED:corporate_g_and_a|NOT_DISCLOSED:exploration_expensed|NOT_DISCLOSED:net_interest|NOT_DISCLOSED:capex_total|NOT_DISCLOSED:cash_tax_paid|SRC_FY20F_QUARTERLY_SUMMARY_TABLE_NOT_DISCRETE_MDA|REALISED_PRICE_CAPTION:Realized_prices_per_unit_of_production:_Gold_(per_ounce),data/raw/AEM/2005-Q4_0001047469-06-004056_a2168598z20-f.htm,,432.0,,,,,,,
AEM,2005Q4,2005-10-01,2005-12-31,attributable,,71.392,33.576,6.592,,,,,,NOT_DISCLOSED this quarter: FY 20-F 'Consolidated/Summarized Quarterly Data' table gives revenue/production-costs/amortization/net-income/gold-oz by quarter but NOT a quarterly capex line,,,,,,,63022,,,"AISC does not exist pre-2013H1 (WGC guidance June 2013); no literal ""all-in sustaining cost"" found in this filing",,,11.695,,,GAAP_BASIS:US_GAAP|NO_AISC_CHECK|NOT_DISCLOSED:segment_revenue_gold_component_byproduct_credits|TIERAEQ:reclamation_accretion:BUNDLED_IN_OPCOST_PRODUCTION_COSTS_LINE|TIERAEQ:royalties:BUNDLED_IN_OPCOST_NO_SEPARATE_LINE_DISCLOSED|TIERAEQ:lease_payments:PRE_IFRS16_ASC842_IN_OPCOST|NOT_DISCLOSED:gold_oz_sold|NOT_DISCLOSED:corporate_g_and_a|NOT_DISCLOSED:exploration_expensed|NOT_DISCLOSED:net_interest|NOT_DISCLOSED:capex_total|NOT_DISCLOSED:cash_tax_paid|SRC_FY20F_QUARTERLY_SUMMARY_TABLE_NOT_DISCRETE_MDA|REALISED_PRICE_CAPTION:Realized_prices_per_unit_of_production:_Gold_(per_ounce),data/raw/AEM/2005-Q4_0001047469-06-004056_a2168598z20-f.htm,,491.0,,241.338,127.365,70.270,-6.259,,
AEM,2006Q1,2006-01-01,2006-03-31,attributable,,90.581,33.187,5.997,,,,,,NOT_DISCLOSED this quarter: FY 20-F 'Consolidated/Summarized Quarterly Data' table gives revenue/production-costs/amortization/net-income/gold-oz by quarter but NOT a quarterly capex line,,,,,,,64235,,,"AISC does not exist pre-2013H1 (WGC guidance June 2013); no literal ""all-in sustaining cost"" found in this filing",,,37.190,,,GAAP_BASIS:US_GAAP|NO_AISC_CHECK|NOT_DISCLOSED:segment_revenue_gold_component_byproduct_credits|TIERAEQ:reclamation_accretion:BUNDLED_IN_OPCOST_PRODUCTION_COSTS_LINE|TIERAEQ:royalties:BUNDLED_IN_OPCOST_NO_SEPARATE_LINE_DISCLOSED|TIERAEQ:lease_payments:PRE_IFRS16_ASC842_IN_OPCOST|NOT_DISCLOSED:gold_oz_sold|NOT_DISCLOSED:corporate_g_and_a|NOT_DISCLOSED:exploration_expensed|NOT_DISCLOSED:net_interest|NOT_DISCLOSED:capex_total|NOT_DISCLOSED:cash_tax_paid|SRC_FY20F_QUARTERLY_SUMMARY_TABLE_NOT_DISCRETE_MDA|REALISED_PRICE_CAPTION:Realized_prices:_Gold_(per_ounce),data/raw/AEM/2006-Q4_0001047469-07-002366_a2176731z20-f.htm,,611.0,,,,,,,
AEM,2006Q2,2006-04-01,2006-06-30,attributable,41.684,126.872,35.567,6.108,,5.275,6.818,,33.533,"cash-flow 'Additions to mining properties' (2005-2011) / 'Additions to property, plant and mine development' (2011+); US GAAP; absolute value of cash outflow",,,3.342,,0.484,60966,55966,60966,,"AISC does not exist pre-2013H1 (WGC guidance June 2013); no literal ""all-in sustaining cost"" found in this filing",,85.188,37.092,,,GAAP_BASIS:US_GAAP|NO_AISC_CHECK|TIERC:segment_revenue_gold:DERIVED_TOTAL_MINUS_BYPRODUCT_CREDITS|TIERB:net_interest:NETTED_INTEREST_AND_SUNDRY_INCOME|TIERAEQ:reclamation_accretion:BUNDLED_IN_OPCOST_PRODUCTION_COSTS_LINE|TIERAEQ:royalties:BUNDLED_IN_OPCOST_NO_SEPARATE_LINE_DISCLOSED|TIERAEQ:lease_payments:PRE_IFRS16_ASC842_IN_OPCOST|SOLD_OZ_DISCLOSED_CONTRA_PRE2013_ANCHORS_ONLY_PRODUCED_FINDING|SRC_DISCRETE_QUARTERLY_MDA_PRESS_RELEASE|REALISED_PRICE_CAPTION:Realized_prices:_Gold_(per_ounce),data/raw/AEM/2006-Q2_0001047469-06-010907_a2172681zex-99_1.htm,,687.0,,,,,,33.533,0.484
AEM,2006Q3,2006-07-01,2006-09-30,attributable,,108.798,36.456,6.119,,,,,,NOT_DISCLOSED this quarter: FY 20-F 'Consolidated/Summarized Quarterly Data' table gives revenue/production-costs/amortization/net-income/gold-oz by quarter but NOT a quarterly capex line,,,,,,,59603,,,"AISC does not exist pre-2013H1 (WGC guidance June 2013); no literal ""all-in sustaining cost"" found in this filing",,,45.203,,,GAAP_BASIS:US_GAAP|NO_AISC_CHECK|NOT_DISCLOSED:segment_revenue_gold_component_byproduct_credits|TIERAEQ:reclamation_accretion:BUNDLED_IN_OPCOST_PRODUCTION_COSTS_LINE|TIERAEQ:royalties:BUNDLED_IN_OPCOST_NO_SEPARATE_LINE_DISCLOSED|TIERAEQ:lease_payments:PRE_IFRS16_ASC842_IN_OPCOST|NOT_DISCLOSED:gold_oz_sold|NOT_DISCLOSED:corporate_g_and_a|NOT_DISCLOSED:exploration_expensed|NOT_DISCLOSED:net_interest|NOT_DISCLOSED:capex_total|NOT_DISCLOSED:cash_tax_paid|SRC_FY20F_QUARTERLY_SUMMARY_TABLE_NOT_DISCRETE_MDA|REALISED_PRICE_CAPTION:Realized_prices:_Gold_(per_ounce),data/raw/AEM/2006-Q4_0001047469-07-002366_a2176731z20-f.htm,,600.0,,,,,,,
AEM,2006Q4,2006-10-01,2006-12-31,attributable,,138.381,38.543,7.031,,,,,,NOT_DISCLOSED this quarter: FY 20-F 'Consolidated/Summarized Quarterly Data' table gives revenue/production-costs/amortization/net-income/gold-oz by quarter but NOT a quarterly capex line,,,,,,,66022,,,"AISC does not exist pre-2013H1 (WGC guidance June 2013); no literal ""all-in sustaining cost"" found in this filing",,,41.852,,,GAAP_BASIS:US_GAAP|NO_AISC_CHECK|NOT_DISCLOSED:segment_revenue_gold_component_byproduct_credits|TIERAEQ:reclamation_accretion:BUNDLED_IN_OPCOST_PRODUCTION_COSTS_LINE|TIERAEQ:royalties:BUNDLED_IN_OPCOST_NO_SEPARATE_LINE_DISCLOSED|TIERAEQ:lease_payments:PRE_IFRS16_ASC842_IN_OPCOST|NOT_DISCLOSED:gold_oz_sold|NOT_DISCLOSED:corporate_g_and_a|NOT_DISCLOSED:exploration_expensed|NOT_DISCLOSED:net_interest|NOT_DISCLOSED:capex_total|NOT_DISCLOSED:cash_tax_paid|SRC_FY20F_QUARTERLY_SUMMARY_TABLE_NOT_DISCRETE_MDA|REALISED_PRICE_CAPTION:Realized_prices:_Gold_(per_ounce),data/raw/AEM/2006-Q4_0001047469-07-002366_a2176731z20-f.htm,,594.0,,464.632,143.753,149.185,1.405,,
AEM,2007Q1,2007-01-01,2007-03-31,attributable,37.986,100.730,36.178,6.928,,9.053,5.829,,62.974,"cash-flow 'Additions to mining properties' (2005-2011) / 'Additions to property, plant and mine development' (2011+); US GAAP; absolute value of cash outflow",,,6.025,,0.025,56758,58588,56758,,"AISC does not exist pre-2013H1 (WGC guidance June 2013); no literal ""all-in sustaining cost"" found in this filing",,62.744,24.922,,,GAAP_BASIS:US_GAAP|NO_AISC_CHECK|TIERC:segment_revenue_gold:DERIVED_TOTAL_MINUS_BYPRODUCT_CREDITS|TIERB:net_interest:NETTED_INTEREST_AND_SUNDRY_INCOME|TIERAEQ:reclamation_accretion:BUNDLED_IN_OPCOST_PRODUCTION_COSTS_LINE|TIERAEQ:royalties:BUNDLED_IN_OPCOST_NO_SEPARATE_LINE_DISCLOSED|TIERAEQ:lease_payments:PRE_IFRS16_ASC842_IN_OPCOST|SOLD_OZ_DISCLOSED_CONTRA_PRE2013_ANCHORS_ONLY_PRODUCED_FINDING|SRC_DISCRETE_QUARTERLY_MDA_PRESS_RELEASE|REALISED_PRICE_CAPTION:Realized_prices:_Gold_(per_ounce),data/raw/AEM/2007-Q1_0001047469-07-004379_a2178016zex-99_1.htm,,669.0,,,,,,62.974,0.025
AEM,2007Q2,2007-04-01,2007-06-30,attributable,39.190,117.935,42.810,7.094,,7.623,9.037,,106.416,"cash-flow 'Additions to mining properties' (2005-2011) / 'Additions to property, plant and mine development' (2011+); US GAAP; absolute value of cash outflow",,,7.041,,3.112,57366,56392,57366,,"AISC does not exist pre-2013H1 (WGC guidance June 2013); no literal ""all-in sustaining cost"" found in this filing",,78.745,37.809,,,GAAP_BASIS:US_GAAP|NO_AISC_CHECK|TIERC:segment_revenue_gold:DERIVED_TOTAL_MINUS_BYPRODUCT_CREDITS|TIERB:net_interest:NETTED_INTEREST_AND_SUNDRY_INCOME|TIERAEQ:reclamation_accretion:BUNDLED_IN_OPCOST_PRODUCTION_COSTS_LINE|TIERAEQ:royalties:BUNDLED_IN_OPCOST_NO_SEPARATE_LINE_DISCLOSED|TIERAEQ:lease_payments:PRE_IFRS16_ASC842_IN_OPCOST|SOLD_OZ_DISCLOSED_CONTRA_PRE2013_ANCHORS_ONLY_PRODUCED_FINDING|SRC_DISCRETE_QUARTERLY_MDA_PRESS_RELEASE|REALISED_PRICE_CAPTION:Realized_prices:_Gold_(per_ounce),data/raw/AEM/2007-Q2_0001047469-07-006473_a2179358zex-99_2.htm,,683.0,,,,,,106.416,3.112
