ticker,quarter,period_start,period_end,basis,segment_revenue_gold,total_revenue,opcost_ex_dda,segment_dda,royalties,corporate_g_and_a,exploration_expensed,capex_total,reclamation_accretion,lease_payments,net_interest,capitalised_interest,cash_tax_paid,gold_oz_sold,gold_oz_produced,published_aisc,aisc_basis,published_aisc_byproduct,published_aic,byproduct_credits,net_income_attributable,impairment_charges,recon_aisc,recon_residual_pct,flags,source_file
AEM,2017Q1,2017-01-01,2017-03-31,attributable,520.788,547.459,240.339,132.509,,30.754,25.313,128.639,,1.682,19.706,,30.363,424829,418216,741,"by-product, per ounce produced",741,,26.671,75.950,0.000,741,0.0000,GOLD_REV_ALLOCATED_FROM_FY;AISC_PER_PRODUCED;NOT_DISCLOSED,data/raw/AEM/2017-Q1_0001047469-17-003035_a2231960zex-99_1.htm | data/raw/AEM/2017-Q4_0001047469-18-002083_a2234701zex-99_3.htm
AEM,2017Q2,2017-04-01,2017-06-30,attributable,530.285,549.883,267.641,128.440,,27.754,34.323,192.272,,1.466,17.835,,38.792,419873,427743,785,"by-product, per ounce produced",785,,19.598,61.884,5.814,785,0.0000,GOLD_REV_ALLOCATED_FROM_FY;AISC_PER_PRODUCED;NOT_DISCLOSED,data/raw/AEM/2017-Q2_0001047469-17-004810_a2232771zex-99_1.htm | data/raw/AEM/2017-Q4_0001047469-18-002083_a2234701zex-99_3.htm
AEM,2017Q3,2017-07-01,2017-09-30,attributable,555.225,580.008,262.173,118.312,,27.986,50.106,256.965,,1.190,20.298,,27.438,432076,454362,789,"by-product, per ounce produced",789,,24.783,70.955,1.432,789,0.0000,GOLD_REV_ALLOCATED_FROM_FY;AISC_PER_PRODUCED;NOT_DISCLOSED,data/raw/AEM/2017-Q3_0001047469-17-006574_a2233637zex-99_1.htm | data/raw/AEM/2017-Q4_0001047469-18-002083_a2234701zex-99_3.htm
AEM,2017Q4,2017-10-01,2017-12-31,attributable,534.593,565.254,287.689,129.478,,28.570,31.708,296.277,,0.914,21.092,,31.322,416996,413212,905,"by-product, per ounce produced",905,,30.661,35.098,1.286,905,0.0000,GOLD_REV_ALLOCATED_FROM_FY;AISC_PER_PRODUCED;NOT_DISCLOSED,data/raw/AEM/2017-Q4_0001047469-18-002084_a2234922zex-99_1.htm | data/raw/AEM/2017-Q4_0001047469-18-002083_a2234701zex-99_3.htm
AEM,2018Q1,2018-01-01,2018-03-31,attributable,544.264,578.435,295.326,134.370,,33.461,30.223,186.094,,0.920,21.816,,37.838,405125,389278,889,"by-product, per ounce produced",889,,34.171,44.930,0.000,889,0.0000,GOLD_REV_ALLOCATED_FROM_FY;AISC_PER_PRODUCED;NOT_DISCLOSED,data/raw/AEM/2018-Q1_0001047469-18-003285_a2235443zex-99_1.htm | data/raw/AEM/2018-Q4_0001047469-19-001634_a2237504zex-99_3.htm
AEM,2018Q2,2018-04-01,2018-06-30,attributable,526.452,556.282,303.695,138.469,,30.647,38.936,250.221,,0.825,25.293,,34.084,403686,404961,921,"by-product, per ounce produced",921,,29.830,4.972,0.000,921,0.0000,GOLD_REV_ALLOCATED_FROM_FY;AISC_PER_PRODUCED;NOT_DISCLOSED,data/raw/AEM/2018-Q2_0001047469-18-005198_a2236286zex-99_1.htm | data/raw/AEM/2018-Q4_0001047469-19-001634_a2237504zex-99_3.htm
AEM,2018Q3,2018-07-01,2018-09-30,attributable,496.639,518.683,276.862,143.859,,29.404,40.939,310.602,,0.817,23.914,,25.031,408976,421718,848,"by-product, per ounce produced",848,,22.044,17.053,0.000,848,0.0000,GOLD_REV_ALLOCATED_FROM_FY;AISC_PER_PRODUCED;NOT_DISCLOSED,data/raw/AEM/2018-Q3_0001047469-18-006858_a2236956zex-99_1.htm | data/raw/AEM/2018-Q4_0001047469-19-001634_a2237504zex-99_3.htm
AEM,2018Q4,2018-10-01,2018-12-31,attributable,513.190,537.821,284.472,137.235,,31.361,27.572,342.183,,0.820,25.544,,9.615,411998,410712,852,"by-product, per ounce produced",852,,24.631,-393.656,389.693,852,0.0000,GOLD_REV_ALLOCATED_FROM_FY;AISC_PER_PRODUCED;NOT_DISCLOSED,data/raw/AEM/2018-Q4_0001104659-19-009196_a19-4871_1ex99d1.htm | data/raw/AEM/2018-Q4_0001047469-19-001634_a2237504zex-99_3.htm
AEM,2019Q1,2019-01-01,2019-03-31,attributable,494.126,532.223,276.893,128.242,,29.093,25.450,203.353,,3.378,25.766,,34.951,390970,398217,836,"by-product, per ounce produced",836,,38.097,37.032,0.000,836,0.0000,GOLD_REV_ALLOCATED_FROM_FY;AISC_PER_PRODUCED;NOT_DISCLOSED,data/raw/AEM/2019-Q1_0001047469-19-002610_a2238546zex-99_1.htm | data/raw/AEM/2019-Q4_0001047469-20-001879_a2240983zex-99_3.htm
AEM,2019Q2,2019-04-01,2019-06-30,attributable,513.621,526.611,279.497,124.203,,29.126,27.352,230.931,,3.456,27.310,,19.501,401770,412315,953,"by-product, per ounce produced",953,,12.990,27.772,0.000,953,0.0000,GOLD_REV_ALLOCATED_FROM_FY;AISC_PER_PRODUCED;NOT_DISCLOSED,data/raw/AEM/2019-Q2_0001047469-19-004371_a2239320zex-99_1.htm | data/raw/AEM/2019-Q4_0001047469-20-001879_a2240983zex-99_3.htm
