ticker,quarter,period_start,period_end,basis,segment_revenue_gold,segment_revenue_gold_consolidated,total_revenue,opcost_ex_dda,segment_dda,royalties,corporate_g_and_a,exploration_expensed,capex_total,reclamation_accretion,lease_payments,net_interest,capitalised_interest,cash_tax_paid,gold_oz_sold,gold_oz_produced,published_aisc,aisc_basis,published_aisc_byproduct,published_aic,byproduct_credits,net_income_attributable,impairment_charges,l0b_nonrecurring,recon_aisc,recon_residual_pct,flags,source_file
GOLD/B,2017Q1,2017-01-01,2017-03-31,attributable,1592.000,1827.000,1993.000,794.000,385.000,51.000,72.000,75.000,334.000,17.000,,150.000,0.000,119.000,1305000,1309000,772.000,by-product,772.000,865.000,41.000,679.000,-1125.000,,890.421,0.153,ONLY_CONSOLIDATED;ALLOCATION_SENSITIVE;KOZ_ROUNDED;EXPL_FULL_IS_INCL_PROJECT,data/raw/GOLD/2017-Q1_0001193125-17-137054_d314880dex991.htm
GOLD/B,2017Q2,2017-04-01,2017-06-30,attributable,1758.000,2003.000,2160.000,718.000,383.000,49.000,45.000,81.000,405.000,20.000,,173.000,0.000,306.000,1398000,1432000,710.000,by-product,710.000,823.000,32.000,1084.000,-5.000,839.000,812.589,0.144,ONLY_CONSOLIDATED;ALLOCATION_SENSITIVE;KOZ_ROUNDED;EXPL_FULL_IS_INCL_PROJECT,data/raw/GOLD/2017-Q2_0001193125-17-238483_d429608dex991.htm
GOLD/B,2017Q3,2017-07-01,2017-09-30,attributable,1563.000,1784.000,1993.000,729.000,357.000,50.000,69.000,100.000,307.000,14.000,,238.000,0.000,107.000,1227000,1243000,772.000,by-product,772.000,884.000,32.000,-11.000,2.000,,891.606,0.155,ONLY_CONSOLIDATED;ALLOCATION_SENSITIVE;KOZ_ROUNDED;EXPL_FULL_IS_INCL_PROJECT,data/raw/GOLD/2017-Q3_0001193125-17-321470_d475885dex991.htm
GOLD/B,2017Q4,2017-10-01,2017-12-31,attributable,1759.000,2017.000,2228.000,822.000,404.000,56.000,62.000,98.000,350.000,13.000,,130.000,0.000,117.000,1372000,1339000,756.000,by-product,756.000,882.000,30.000,-314.000,916.000,,881.924,0.167,ONLY_CONSOLIDATED;ALLOCATION_SENSITIVE;KOZ_ROUNDED;EXPL_FULL_IS_INCL_PROJECT;derived_q4=true,"data/raw/GOLD/2017-Q4_0001193125-18-047541_d538984dex991.htm ; components: data/raw/GOLD/2017-Q1_0001193125-17-137054_d314880dex991.htm, data/raw/GOLD/2017-Q2_0001193125-17-238483_d429608dex991.htm, data/raw/GOLD/2017-Q3_0001193125-17-321470_d475885dex991.htm"
GOLD/B,2018Q1,2018-01-01,2018-03-31,attributable,1427.000,1643.000,1790.000,690.000,298.000,50.000,48.000,73.000,326.000,19.000,,133.000,0.000,52.000,1071000,1049000,804.000,by-product,804.000,963.000,36.000,158.000,2.000,,940.243,0.169,ONLY_CONSOLIDATED;ALLOCATION_SENSITIVE;KOZ_ROUNDED;EXPL_FULL_IS_INCL_PROJECT,data/raw/GOLD/2018-Q1_0001193125-18-128798_d575519dex991.htm
GOLD/B,2018Q2,2018-04-01,2018-06-30,attributable,1362.000,1562.000,1712.000,716.000,290.000,43.000,93.000,97.000,313.000,19.000,,136.000,0.000,206.000,1037000,1067000,856.000,by-product,856.000,1043.000,38.000,-94.000,59.000,,1043.394,0.219,ONLY_CONSOLIDATED;ALLOCATION_SENSITIVE;KOZ_ROUNDED;EXPL_FULL_IS_INCL_PROJECT,data/raw/GOLD/2018-Q2_0001193125-18-227887_d671737dex991.htm
GOLD/B,2018Q3,2018-07-01,2018-09-30,attributable,1463.000,1661.000,1837.000,790.000,319.000,45.000,71.000,89.000,387.000,25.000,,159.000,0.000,106.000,1204000,1149000,785.000,by-product,785.000,956.000,31.000,-412.000,431.000,,950.166,0.210,ONLY_CONSOLIDATED;ALLOCATION_SENSITIVE;KOZ_ROUNDED;EXPL_FULL_IS_INCL_PROJECT,data/raw/GOLD/2018-Q3_0001193125-18-307879_d637760dex991.htm
GOLD/B,2018Q4,2018-10-01,2018-12-31,attributable,1505.000,1734.000,1904.000,934.000,346.000,58.000,53.000,124.000,374.000,18.000,,117.000,9.000,34.000,1232000,1262000,788.000,by-product,788.000,985.000,26.000,-1197.000,408.000,,1077.110,0.367,ONLY_CONSOLIDATED;ALLOCATION_SENSITIVE;KOZ_ROUNDED;EXPL_FULL_IS_INCL_PROJECT;derived_q4=true,"data/raw/GOLD/2018-Q4_0001193125-19-040445_d686102dex991.htm ; components: data/raw/GOLD/2018-Q1_0001193125-18-128798_d575519dex991.htm, data/raw/GOLD/2018-Q2_0001193125-18-227887_d671737dex991.htm, data/raw/GOLD/2018-Q3_0001193125-18-307879_d637760dex991.htm"
GOLD/B,2019Q1,2019-01-01,2019-03-31,attributable,1785.000,1906.000,2093.000,894.000,384.000,66.000,54.000,74.000,374.000,14.000,12.000,120.000,2.000,74.000,1365000,1367000,825.000,by-product,825.000,964.000,24.000,111.000,3.000,,936.264,0.135,ONLY_CONSOLIDATED;ALLOCATION_SENSITIVE;KOZ_ROUNDED;EXPL_FULL_IS_INCL_PROJECT;SERIES_BREAK:RANDGOLD_MERGER,data/raw/GOLD/2019-Q1_0001193125-19-141823_d745499dex992.htm
GOLD/B,2019Q2,2019-04-01,2019-06-30,attributable,1807.000,1937.000,2063.000,921.000,431.000,78.000,59.000,98.000,379.000,16.000,6.000,118.000,3.000,234.000,1372000,1353000,869.000,by-product,869.000,999.000,23.000,194.000,12.000,,975.219,0.122,ONLY_CONSOLIDATED;ALLOCATION_SENSITIVE;KOZ_ROUNDED;EXPL_FULL_IS_INCL_PROJECT,data/raw/GOLD/2019-Q2_0001193125-19-218473_d761129dex992.htm
GOLD/B,2019Q3,2019-07-01,2019-09-30,attributable,1945.000,2585.000,2678.000,1207.000,538.000,79.000,68.000,86.000,502.000,28.000,5.000,125.000,3.000,87.000,1318000,1306000,984.000,by-product,984.000,1074.000,48.000,2277.000,-872.000,1852.000,1340.668,0.362,ONLY_CONSOLIDATED;ALLOCATION_SENSITIVE;KOZ_ROUNDED;EXPL_FULL_IS_INCL_PROJECT;SERIES_BREAK:NGM_JV_FORMED,data/raw/GOLD/2019-Q3_0001193125-19-285780_d829685dex992.htm
