ticker,quarter,period_start,period_end,basis,segment_revenue_gold,total_revenue,opcost_ex_dda,segment_dda,royalties,corporate_g_and_a,exploration_expensed,capex_total,reclamation_accretion,lease_payments,net_interest,capitalised_interest,cash_tax_paid,gold_oz_sold,gold_oz_produced,published_aisc,aisc_basis,published_aisc_byproduct,published_aic,byproduct_credits,net_income_attributable,impairment_charges,recon_aisc,recon_residual_pct,flags,source_file
KGC,2017Q1,2017-01-01,2017-03-31,consolidated,773.200,796.100,458.800,217.500,,35.200,21.000,178.900,7.900,,17.600,,24.200,633806,677781,953.000,GEO,945.000,1104.000,22.900,134.600,-97.000,943.700,-0.010,GEO_BASIS;ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;EXPL_INCL_BUSINESS_DEV;CAPINT_INCLUDED_IN_CAPEX;TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST,data/raw/KGC/2017-Q1_0000701818-17-000007_ex99-1.htm
KGC,2017Q2,2017-04-01,2017-06-30,consolidated,846.300,868.600,456.600,204.000,,32.000,24.900,200.700,7.800,,17.600,,90.200,671625,700452,910.000,GEO,901.000,1102.000,22.300,33.100,0.000,902.700,-0.008,GEO_BASIS;ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;EXPL_INCL_BUSINESS_DEV;CAPINT_INCLUDED_IN_CAPEX;TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST,data/raw/KGC/2017-Q2_0000701818-17-000011_ex99-1.htm
KGC,2017Q3,2017-07-01,2017-09-30,consolidated,806.200,828.000,427.500,207.600,,31.600,26.100,204.700,7.900,,21.100,,32.000,628280,660564,937.000,GEO,927.000,1158.000,21.800,60.100,0.000,927.400,-0.010,GEO_BASIS;ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;EXPL_INCL_BUSINESS_DEV;CAPINT_INCLUDED_IN_CAPEX;TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST,data/raw/KGC/2017-Q3_0000701818-17-000013_ex99-1.htm
KGC,2017Q4,2017-10-01,2017-12-31,consolidated,790.800,810.300,414.500,190.300,,33.800,34.000,313.600,7.700,,16.700,,42.100,619467,659339,1019.300,GEO,1013.000,1307.700,19.500,217.600,21.500,1009.400,-0.010,GEO_BASIS;ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;EXPL_INCL_BUSINESS_DEV;CAPINT_INCLUDED_IN_CAPEX;TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST;derived_q4,data/raw/KGC/2017-Q4_0000701818-18-000003_ex99-1.htm;data/raw/KGC/2017-Q4_0000701818-18-000003_ex99-2.htm;data/raw/KGC/2017-Q3_0000701818-17-000013_ex99-1.htm
KGC,2018Q1,2018-01-01,2018-03-31,consolidated,878.900,897.200,444.600,193.100,,35.700,20.500,246.900,7.200,,16.300,,21.600,660884,659955,846.000,GEO,835.000,1128.000,18.300,106.100,0.000,837.600,-0.010,GEO_BASIS;ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;EXPL_INCL_BUSINESS_DEV;CAPINT_INCLUDED_IN_CAPEX;TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST,data/raw/KGC/2018-Q1_0000701818-18-000006_ex99-1.htm
KGC,2018Q2,2018-04-01,2018-06-30,consolidated,757.800,775.000,454.900,190.300,,30.300,23.800,247.100,7.300,,14.200,,33.700,580173,607906,1018.000,GEO,1011.000,1342.000,17.200,2.400,0.000,1008.100,-0.010,GEO_BASIS;ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;EXPL_INCL_BUSINESS_DEV;CAPINT_INCLUDED_IN_CAPEX;TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST,data/raw/KGC/2018-Q2_0000701818-18-000009_ex99-1.htm
KGC,2018Q3,2018-07-01,2018-09-30,consolidated,738.200,753.900,484.600,204.700,,34.200,32.500,276.400,7.300,,12.300,,22.900,610630,591928,1049.000,GEO,1046.000,1356.000,15.700,-104.400,0.000,1039.700,-0.009,GEO_BASIS;ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;EXPL_INCL_BUSINESS_DEV;CAPINT_INCLUDED_IN_CAPEX;TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST,data/raw/KGC/2018-Q3_0000701818-18-000015_ex99-1.htm
KGC,2018Q4,2018-10-01,2018-12-31,consolidated,771.300,786.500,476.400,184.300,,32.800,32.400,273.000,7.300,,18.300,,48.700,628842,615279,960.600,GEO,954.900,1286.200,15.200,-27.700,0.000,953.300,-0.008,GEO_BASIS;ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;EXPL_INCL_BUSINESS_DEV;CAPINT_INCLUDED_IN_CAPEX;TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST;derived_q4,data/raw/KGC/2018-Q4_0000701818-19-000002_ex99-1.htm;data/raw/KGC/2018-Q4_0000701818-19-000002_ex99-2.htm;data/raw/KGC/2018-Q3_0000701818-18-000015_ex99-1.htm
KGC,2019Q1,2019-01-01,2019-03-31,consolidated,769.100,786.200,411.700,164.100,,42.600,19.500,264.800,7.700,3.300,17.700,,17.000,589825,611263,925.000,GEO,917.000,1240.000,17.100,64.700,0.000,916.500,-0.009,GEO_BASIS;ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;EXPL_INCL_BUSINESS_DEV;CAPINT_INCLUDED_IN_CAPEX,data/raw/KGC/2019-Q1_0000701818-19-000005_ex99-1.htm
KGC,2019Q2,2019-04-01,2019-06-30,consolidated,822.300,837.800,426.100,179.900,,29.600,28.400,276.700,7.800,3.900,16.400,,-16.400,629206,653586,925.000,GEO,918.000,1243.000,15.500,71.500,0.000,917.900,-0.008,GEO_BASIS;ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;EXPL_INCL_BUSINESS_DEV;CAPINT_INCLUDED_IN_CAPEX,data/raw/KGC/2019-Q2_0000701818-19-000008_ex99-1.htm
KGC,2019Q3,2019-07-01,2019-09-30,consolidated,855.000,877.100,440.600,176.900,,32.300,35.600,265.500,7.700,3.200,13.800,,61.900,582629,612697,1028.000,GEO,1016.000,1309.000,22.100,60.900,0.000,1019.400,-0.008,GEO_BASIS;ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;EXPL_INCL_BUSINESS_DEV;CAPINT_INCLUDED_IN_CAPEX,data/raw/KGC/2019-Q3_0000701818-19-000012_ex99-1.htm
KGC,2019Q4,2019-10-01,2019-12-31,consolidated,975.800,996.200,500.500,210.400,,31.300,30.000,298.200,7.800,3.900,21.100,,52.600,657179,650242,1050.400,GEO,1041.300,1339.700,20.400,521.500,-361.800,1043.100,-0.007,GEO_BASIS;ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;EXPL_INCL_BUSINESS_DEV;CAPINT_INCLUDED_IN_CAPEX;derived_q4,data/raw/KGC/2019-Q4_0000701818-20-000003_ex99-1.htm;data/raw/KGC/2019-Q4_0000701818-20-000003_ex99-2.htm;data/raw/KGC/2019-Q3_0000701818-19-000012_ex99-1.htm
KGC,2020Q1,2020-01-01,2020-03-31,consolidated,863.400,879.800,421.300,193.100,,31.800,19.100,191.400,5.800,4.700,17.900,22.300,63.900,545967,571773,993.000,GEO,982.000,1251.000,16.400,122.700,0.000,985.900,-0.007,GEO_BASIS;ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;EXPL_INCL_BUSINESS_DEV;CAPINT_EXCLUDED,data/raw/KGC/2020-Q1_0000701818-20-000006_ex99-1.htm
KGC,2020Q2,2020-04-01,2020-06-30,consolidated,989.700,1007.200,428.500,210.400,,24.700,17.900,214.300,5.700,4.800,26.100,3.800,63.000,578300,575846,984.000,GEO,971.000,1217.000,17.500,195.700,-48.300,976.900,-0.007,GEO_BASIS;ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;EXPL_INCL_BUSINESS_DEV;CAPINT_EXCLUDED,data/raw/KGC/2020-Q2_0001140361-20-016977_ex99-1.htm
KGC,2020Q3,2020-07-01,2020-09-30,consolidated,1102.500,1131.300,439.400,204.800,,25.300,24.800,212.100,5.700,4.000,20.900,16.900,30.000,577822,607744,958.000,GEO,934.000,1243.000,28.800,240.700,0.000,950.800,-0.008,GEO_BASIS;ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;EXPL_INCL_BUSINESS_DEV;CAPINT_EXCLUDED,data/raw/KGC/2020-Q3_0000701818-20-000012_ex99-1.htm
