ticker,quarter,period_start,period_end,basis,segment_revenue_gold,total_revenue,opcost_ex_dda,segment_dda,royalties,corporate_g_and_a,exploration_expensed,capex_total,reclamation_accretion,lease_payments,net_interest,capitalised_interest,cash_tax_paid,gold_oz_sold,gold_oz_produced,published_aisc,aisc_basis,published_aisc_byproduct,published_aic,byproduct_credits,net_income_attributable,impairment_charges,recon_aisc,recon_residual_pct,flags,source_file
NEM,2017Q1,2017-01-01,2017-03-31,consolidated,1588.000,1659.000,894.000,282.000,,55.000,62.000,180.000,25.000,,67.000,,,1301000,1327000,900.000,co-product,881.000,,11.000,46.000,3.000,900.1,0.0001,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;RESTATED,data/raw/NEM/2017-Q1_0001558370-17-002832_nem-20170331x10q.htm;data/raw/NEM/2017-Q1_0001157523-17-001143_a51545956ex99_1.htm;data/raw/NEM/2018-Q1_0001558370-18-003287_nem-20180331x10q.htm
NEM,2017Q2,2017-04-01,2017-06-30,consolidated,1799.000,1875.000,955.000,295.000,,58.000,83.000,183.000,25.000,,64.000,,,1439000,1440000,884.000,co-product,869.000,,18.000,177.000,0.000,883.9,-0.0001,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid,data/raw/NEM/2017-Q2_0001558370-17-005290_nem-20170630x10q.htm;data/raw/NEM/2017-Q2_0001157523-17-002051_a51595059ex99_1.htm
NEM,2017Q3,2017-07-01,2017-09-30,consolidated,1799.000,1879.000,1017.000,315.000,,58.000,89.000,194.000,25.000,,56.000,,,1411000,1441000,943.000,co-product,917.000,,16.000,206.000,0.000,943.3,0.0003,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid,data/raw/NEM/2017-Q3_0001558370-17-007562_nem-20170930x10q.htm;data/raw/NEM/2017-Q3_0001157523-17-002806_a51705675_ex991.htm
NEM,2017Q4,2017-10-01,2017-12-31,consolidated,1847.000,1935.000,1009.000,309.000,,66.000,88.000,309.000,25.000,,54.000,,,1454000,1446000,968.000,co-product,944.000,,10.000,-527.000,11.000,964.2,-0.0039,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;derived_q4;derived_from_cumulative,data/raw/NEM/2017-Q4_0001558370-18-000894_nem-20171231x10k.htm;data/raw/NEM/2017-Q4_0001157523-18-000390_a51761887_ex991.htm;data/raw/NEM/2017-Q1_0001558370-17-002832_nem-20170331x10q.htm;data/raw/NEM/2017-Q2_0001558370-17-005290_nem-20170630x10q.htm;data/raw/NEM/2017-Q3_0001558370-17-007562_nem-20170930x10q.htm
NEM,2018Q1,2018-01-01,2018-03-31,consolidated,1739.000,1817.000,982.000,288.000,,59.000,74.000,231.000,24.000,,53.000,,,1312000,1286000,973.000,co-product,957.000,,14.000,192.000,0.000,973.3,0.0003,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid,data/raw/NEM/2018-Q1_0001558370-18-003287_nem-20180331x10q.htm;data/raw/NEM/2018-Q1_0001157523-18-000815_a51795441ex99_1.htm
NEM,2018Q2,2018-04-01,2018-06-30,consolidated,1581.000,1662.000,919.000,267.000,,63.000,90.000,258.000,25.000,,49.000,,,1224000,1242000,1024.000,co-product,1002.000,,19.000,292.000,0.000,1023.7,-0.0003,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid,data/raw/NEM/2018-Q2_0001558370-18-005735_nem-20180630x10q.htm;data/raw/NEM/2018-Q2_0001157523-18-001534_a51843111ex99_1.htm
NEM,2018Q3,2018-07-01,2018-09-30,consolidated,1656.000,1726.000,952.000,287.000,,59.000,85.000,274.000,26.000,,51.000,,,1378000,1394000,927.000,co-product,915.000,,11.000,-145.000,366.000,927.4,0.0005,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid,data/raw/NEM/2018-Q3_0001558370-18-007843_nem-20180930x10q.htm;data/raw/NEM/2018-Q3_0001157523-18-002139_a51888653ex99_1.htm
NEM,2018Q4,2018-10-01,2018-12-31,consolidated,1974.000,2048.000,1053.000,322.000,,63.000,101.000,269.000,24.000,,54.000,,,1602000,1557000,845.000,co-product,835.000,,9.000,2.000,45.000,844.6,-0.0005,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;derived_q4;derived_from_cumulative,data/raw/NEM/2018-Q4_0001558370-19-000806_nem-20181231x10k.htm;data/raw/NEM/2018-Q4_0001157523-19-000406_a51943855ex99_1.htm;data/raw/NEM/2018-Q1_0001558370-18-003287_nem-20180331x10q.htm;data/raw/NEM/2018-Q2_0001558370-18-005735_nem-20180630x10q.htm;data/raw/NEM/2018-Q3_0001558370-18-007843_nem-20180930x10q.htm
NEM,2019Q1,2019-01-01,2019-03-31,consolidated,1739.000,1803.000,935.000,298.000,,59.000,68.000,225.000,26.000,10.000,58.000,,,1338000,1337000,907.000,co-product,896.000,,8.000,87.000,2.000,906.6,-0.0005,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid,data/raw/NEM/2019-Q1_0001558370-19-003261_nem-20190331x10q.htm;data/raw/NEM/2019-Q1_0001157523-19-000886_a51974292_ex991.htm
NEM,2019Q2,2019-04-01,2019-06-30,consolidated,2154.000,2257.000,1245.000,449.000,,81.000,101.000,380.000,32.000,16.000,82.000,,,1636000,1612000,1016.000,co-product,1047.000,,23.000,-25.000,0.000,1015.9,-0.0001,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;derived_from_cumulative,data/raw/NEM/2019-Q2_0001558370-19-006289_nem-20190630x10q.htm;data/raw/NEM/2019-Q1_0001558370-19-003261_nem-20190331x10q.htm;data/raw/NEM/2019-Q2_0001157523-19-001578_a52018256_ex991.htm
NEM,2019Q3,2019-07-01,2019-09-30,consolidated,2483.000,2713.000,1232.000,503.000,,84.000,131.000,428.000,38.000,11.000,77.000,,,1682000,1650000,987.000,co-product,997.000,,31.000,2178.000,4.000,987.5,0.0005,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;derived_from_cumulative,data/raw/NEM/2019-Q3_0001558370-19-009890_nem-20190930x10q294e94.htm;data/raw/NEM/2019-Q2_0001558370-19-006289_nem-20190630x10q.htm;data/raw/NEM/2019-Q3_0001157523-19-002190_a52123028ex99_1.htm
NEM,2019Q4,2019-10-01,2019-12-31,consolidated,2673.000,2967.000,1251.000,516.000,,89.000,115.000,430.000,37.000,18.000,84.000,,,1809000,1793000,946.000,co-product,954.000,,32.000,565.000,1.000,945.3,-0.0008,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;derived_q4;derived_from_cumulative,data/raw/NEM/2019-Q4_0001558370-20-001041_nem-20191231x10k047aaa.htm;data/raw/NEM/2019-Q4_0001157523-20-000234_a52176631ex99_1.htm;data/raw/NEM/2019-Q1_0001558370-19-003261_nem-20190331x10q.htm;data/raw/NEM/2019-Q2_0001558370-19-006289_nem-20190630x10q.htm;data/raw/NEM/2019-Q3_0001558370-19-009890_nem-20190930x10q294e94.htm
NEM,2020Q1,2020-01-01,2020-03-31,consolidated,2321.000,2581.000,1140.000,475.000,,65.000,71.000,328.000,34.000,16.000,82.000,,,1460000,1476000,1030.000,co-product,1040.000,,24.000,822.000,93.000,1030.1,0.0001,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid,data/raw/NEM/2020-Q1_0001164727-20-000132_nem-20200331.htm;data/raw/NEM/2020-Q1_0001157523-20-000647_a52214383ex99_1.htm
NEM,2020Q2,2020-04-01,2020-06-30,consolidated,2166.000,2365.000,940.000,457.000,,72.000,52.000,280.000,35.000,17.000,78.000,,,1255000,1239000,1097.000,co-product,1104.000,,21.000,344.000,5.000,1097.2,0.0002,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;derived_from_cumulative,data/raw/NEM/2020-Q2_0001164727-20-000178_nem-20200630.htm;data/raw/NEM/2020-Q1_0001164727-20-000132_nem-20200331.htm;data/raw/NEM/2020-Q2_0001157523-20-001062_a52258116ex99_1.htm
NEM,2020Q3,2020-07-01,2020-09-30,consolidated,2860.000,3170.000,1130.000,525.000,,68.000,87.000,296.000,34.000,16.000,75.000,,,1495000,1521000,1020.000,co-product,940.000,,35.000,839.000,24.000,1019.4,-0.0006,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;derived_from_cumulative,data/raw/NEM/2020-Q3_0001164727-20-000228_nem-20200930.htm;data/raw/NEM/2020-Q2_0001164727-20-000178_nem-20200630.htm;data/raw/NEM/2020-Q3_0001157523-20-001374_a52316426ex99_1.htm
NEM,2020Q4,2020-10-01,2020-12-31,consolidated,3003.000,3381.000,1198.000,526.000,,64.000,99.000,398.000,31.000,17.000,73.000,,,1621000,1588000,1043.000,co-product,957.000,,50.000,824.000,20.000,1043.2,0.0002,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;derived_q4;derived_from_cumulative,data/raw/NEM/2020-Q4_0001164727-21-000027_nem-20201231.htm;data/raw/NEM/2020-Q4_0001157523-21-000209_a52380917ex99_1.htm;data/raw/NEM/2020-Q1_0001164727-20-000132_nem-20200331.htm;data/raw/NEM/2020-Q2_0001164727-20-000178_nem-20200630.htm;data/raw/NEM/2020-Q3_0001164727-20-000228_nem-20200930.htm
