ticker,quarter,has_operating_stats,has_financial_statements,usable
NEM,2021-Q1,True,True,True
NEM,2021-Q2,True,True,True
NEM,2021-Q3,True,True,True
NEM,2021-Q4,True,True,True
NEM,2022-Q1,True,True,True
NEM,2022-Q2,True,True,True
NEM,2022-Q3,True,True,True
NEM,2022-Q4,True,True,True
NEM,2023-Q1,True,True,True
NEM,2023-Q2,True,True,True
NEM,2023-Q3,True,True,True
NEM,2023-Q4,True,True,True
NEM,2024-Q1,True,True,True
NEM,2024-Q2,True,True,True
NEM,2024-Q3,True,True,True
NEM,2024-Q4,True,True,True
NEM,2025-Q1,True,True,True
NEM,2025-Q2,True,True,True
NEM,2025-Q3,True,True,True
NEM,2025-Q4,True,True,True
NEM,2026-Q1,True,True,True
NEM,2026-Q2,True,True,True
GOLD,2021-Q1,True,True,True
GOLD,2021-Q2,True,True,True
GOLD,2021-Q3,True,True,True
GOLD,2021-Q4,True,True,True
GOLD,2022-Q1,True,True,True
GOLD,2022-Q2,True,True,True
GOLD,2022-Q3,True,True,True
GOLD,2022-Q4,True,True,True
GOLD,2023-Q1,True,True,True
GOLD,2023-Q2,True,True,True
GOLD,2023-Q3,True,True,True
GOLD,2023-Q4,True,True,True
GOLD,2024-Q1,True,True,True
GOLD,2024-Q2,True,True,True
GOLD,2024-Q3,True,True,True
GOLD,2024-Q4,True,True,True
GOLD,2025-Q1,True,True,True
GOLD,2025-Q2,True,True,True
GOLD,2025-Q3,True,True,True
GOLD,2025-Q4,True,True,True
GOLD,2026-Q1,True,True,True
GOLD,2026-Q2,True,True,True
AEM,2021-Q1,True,True,True
AEM,2021-Q2,True,True,True
AEM,2021-Q3,True,True,True
AEM,2021-Q4,True,True,True
AEM,2022-Q1,True,True,True
AEM,2022-Q2,True,True,True
AEM,2022-Q3,True,True,True
AEM,2022-Q4,True,True,True
AEM,2023-Q1,True,True,True
AEM,2023-Q2,True,True,True
AEM,2023-Q3,True,True,True
AEM,2023-Q4,True,True,True
AEM,2024-Q1,True,True,True
AEM,2024-Q2,True,True,True
AEM,2024-Q3,True,True,True
AEM,2024-Q4,True,True,True
AEM,2025-Q1,True,True,True
AEM,2025-Q2,True,True,True
AEM,2025-Q3,True,True,True
AEM,2025-Q4,True,True,True
AEM,2026-Q1,True,True,True
AEM,2026-Q2,True,True,True
AU,2021-Q1,True,True,True
AU,2021-Q2,True,True,True
AU,2021-Q3,True,False,False
AU,2021-Q4,True,True,True
AU,2022-Q1,True,True,True
AU,2022-Q2,True,True,True
AU,2022-Q3,True,False,False
AU,2022-Q4,True,True,True
AU,2023-Q1,True,True,True
AU,2023-Q2,True,True,True
AU,2023-Q3,True,False,False
AU,2023-Q4,True,True,True
AU,2024-Q1,True,False,False
AU,2024-Q2,True,True,True
AU,2024-Q3,True,False,False
AU,2024-Q4,True,True,True
AU,2025-Q1,True,False,False
AU,2025-Q2,True,True,True
AU,2025-Q3,True,True,True
AU,2025-Q4,True,True,True
AU,2026-Q1,True,False,False
AU,2026-Q2,True,True,True
KGC,2021-Q1,True,True,True
KGC,2021-Q2,True,True,True
KGC,2021-Q3,True,True,True
KGC,2021-Q4,True,True,True
KGC,2022-Q1,True,True,True
KGC,2022-Q2,True,True,True
KGC,2022-Q3,True,True,True
KGC,2022-Q4,True,True,True
KGC,2023-Q1,True,True,True
KGC,2023-Q2,True,True,True
KGC,2023-Q3,True,True,True
KGC,2023-Q4,True,True,True
KGC,2024-Q1,True,True,True
KGC,2024-Q2,True,True,True
KGC,2024-Q3,True,True,True
KGC,2024-Q4,True,True,True
KGC,2025-Q1,True,True,True
KGC,2025-Q2,True,True,True
KGC,2025-Q3,True,True,True
KGC,2025-Q4,True,True,True
KGC,2026-Q1,True,True,True
KGC,2026-Q2,True,True,True
GFI,2021-Q1,True,False,False
GFI,2021-Q2,True,False,False
GFI,2021-Q3,True,False,False
GFI,2021-Q4,True,True,True
GFI,2022-Q1,True,False,False
GFI,2022-Q2,True,True,True
GFI,2022-Q3,True,True,True
GFI,2022-Q4,True,True,True
GFI,2023-Q1,True,False,False
GFI,2023-Q2,True,True,True
GFI,2023-Q3,True,False,False
GFI,2023-Q4,True,True,True
GFI,2024-Q1,True,False,False
GFI,2024-Q2,True,True,True
GFI,2024-Q3,True,False,False
GFI,2024-Q4,True,True,True
GFI,2025-Q1,False,False,False
GFI,2025-Q2,True,True,True
GFI,2025-Q3,True,False,False
GFI,2025-Q4,True,True,True
GFI,2026-Q1,True,False,False
GFI,2026-Q2,True,False,False
