date,usd_pm,gbp_pm,eur_pm,usd_am,gbp_am,eur_am,usd_resolved,resolved_source
1968-01-02,,,,35.18,14.64,,35.18,am
1968-01-03,,,,35.16,14.62,,35.16,am
1968-01-04,,,,35.14,14.6,,35.14,am
1968-01-05,,,,35.14,14.6,,35.14,am
1968-01-08,,,,35.14,14.59,,35.14,am
1968-01-09,,,,35.14,14.58,,35.14,am
1968-01-10,,,,35.15,14.58,,35.15,am
1968-01-11,,,,35.17,14.6,,35.17,am
1968-01-12,,,,35.18,14.61,,35.18,am
1968-01-15,,,,35.18,14.6,,35.18,am
1968-01-16,,,,35.19,14.6,,35.19,am
1968-01-17,,,,35.2,14.61,,35.2,am
1968-01-18,,,,35.2,14.61,,35.2,am
1968-01-19,,,,35.19,14.61,,35.19,am
1968-01-22,,,,35.19,14.61,,35.19,am
1968-01-23,,,,35.19,14.61,,35.19,am
1968-01-24,,,,35.2,14.6,,35.2,am
1968-01-25,,,,35.2,14.6,,35.2,am
1968-01-26,,,,35.2,14.6,,35.2,am
1968-01-29,,,,35.19,14.6,,35.19,am
1968-01-30,,,,35.19,14.59,,35.19,am
1968-01-31,,,,35.2,14.59,,35.2,am
1968-02-01,,,,35.2,14.59,,35.2,am
1968-02-02,,,,35.2,14.6,,35.2,am
1968-02-05,,,,35.19,14.59,,35.19,am
1968-02-06,,,,35.19,14.6,,35.19,am
1968-02-07,,,,35.2,14.59,,35.2,am
1968-02-08,,,,35.19,14.6,,35.19,am
1968-02-09,,,,35.2,14.6,,35.2,am
1968-02-12,,,,35.19,14.6,,35.19,am
1968-02-13,,,,35.19,14.6,,35.19,am
1968-02-14,,,,35.2,14.6,,35.2,am
1968-02-15,,,,35.2,14.6,,35.2,am
1968-02-16,,,,35.2,14.6,,35.2,am
1968-02-19,,,,35.2,14.6,,35.2,am
1968-02-20,,,,35.2,14.59,,35.2,am
1968-02-21,,,,35.2,14.6,,35.2,am
1968-02-22,,,,35.2,14.6,,35.2,am
1968-02-23,,,,35.2,14.62,,35.2,am
1968-02-26,,,,35.2,14.63,,35.2,am
1968-02-27,,,,35.2,14.63,,35.2,am
1968-02-28,,,,35.2,14.63,,35.2,am
1968-02-29,,,,35.2,14.64,,35.2,am
1968-03-01,,,,35.2,14.66,,35.2,am
1968-03-04,,,,35.2,14.67,,35.2,am
1968-03-05,,,,35.2,14.68,,35.2,am
1968-03-06,,,,35.2,14.64,,35.2,am
1968-03-07,,,,35.2,14.67,,35.2,am
1968-03-08,,,,35.2,14.71,,35.2,am
1968-03-11,,,,35.2,14.68,,35.2,am
1968-03-12,,,,35.2,14.69,,35.2,am
1968-03-13,,,,35.2,14.69,,35.2,am
1968-03-14,,,,35.2,14.73,,35.2,am
1968-04-01,37.7,15.68,,38,15.81,,37.7,pm
1968-04-02,37.3,37.3,,37.6,15.64,,37.3,pm
1968-04-03,37.6,15.63,,37.7,15.68,,37.6,pm
1968-04-04,36.95,15.36,,36.7,15.25,,36.95,pm
1968-04-05,37,15.39,,37.2,15.47,,37,pm
1968-04-08,37.05,15.41,,37,15.38,,37.05,pm
1968-04-09,37.5,15.59,,37.25,15.49,,37.5,pm
1968-04-10,37.7,15.69,,37.6,15.64,,37.7,pm
1968-04-11,38,15.82,,38.05,15.84,,38,pm
1968-04-16,38,15.82,,38.1,15.86,,38,pm
1968-04-17,37.8,15.73,,38,15.81,,37.8,pm
1968-04-18,37.55,15.63,,37.6,15.65,,37.55,pm
1968-04-19,37.65,15.68,,37.65,15.68,,37.65,pm
1968-04-22,38,15.84,,38.3,15.96,,38,pm
1968-04-23,38.4,16,,38.05,15.86,,38.4,pm
1968-04-24,38.25,15.94,,38.35,15.99,,38.25,pm
1968-04-25,38.3,15.97,,38.25,15.95,,38.3,pm
1968-04-26,38.65,16.13,,38.5,16.06,,38.65,pm
1968-04-29,38.75,16.17,,38.55,16.09,,38.75,pm
1968-04-30,39.1,16.31,,39.1,16.32,,39.1,pm
1968-05-01,39.2,16.35,,39.1,16.31,,39.2,pm
1968-05-02,39.45,16.46,,39.25,16.38,,39.45,pm
1968-05-03,39.1,16.32,,39.6,16.53,,39.1,pm
1968-05-06,39.75,16.6,,39.7,16.58,,39.75,pm
1968-05-07,39.3,16.41,,39.3,16.41,,39.3,pm
1968-05-08,39.75,16.59,,39.5,16.49,,39.75,pm
1968-05-09,39.7,16.59,,39.7,16.59,,39.7,pm
1968-05-10,39.6,16.56,,39.8,16.64,,39.6,pm
1968-05-13,39.5,16.54,,39.4,16.5,,39.5,pm
1968-05-14,39.8,16.66,,39.6,16.58,,39.8,pm
1968-05-15,40.25,16.83,,40.1,16.77,,40.25,pm
1968-05-16,41.25,17.28,,40.85,17.1,,41.25,pm
1968-05-17,41.5,17.4,,41.6,17.43,,41.5,pm
1968-05-20,42.3,17.73,,42,17.6,,42.3,pm
1968-05-21,42.4,17.78,,42.6,17.86,,42.4,pm
1968-05-22,41.55,17.41,,42.2,17.68,,41.55,pm
1968-05-23,41.4,17.36,,41.5,17.4,,41.4,pm
1968-05-24,41.75,17.51,,41.75,17.51,,41.75,pm
1968-05-27,41.5,17.4,,41.5,17.4,,41.5,pm
1968-05-28,41.5,17.39,,41.6,17.44,,41.5,pm
1968-05-29,41.6,17.43,,41.5,17.4,,41.6,pm
1968-05-30,41.95,17.6,,41.75,17.5,,41.95,pm
1968-05-31,41.95,17.6,,42,17.62,,41.95,pm
1968-06-04,41.15,17.25,,41.2,17.27,,41.15,pm
1968-06-05,41.2,17.27,,41.4,17.35,,41.2,pm
1968-06-06,41.2,17.28,,41.25,17.3,,41.2,pm
1968-06-07,41.25,17.3,,41.2,17.28,,41.25,pm
1968-06-10,41.3,17.31,,41.35,17.33,,41.3,pm
1968-06-11,41.55,17.41,,41.3,17.3,,41.55,pm
1968-06-12,41.9,17.55,,42.1,17.64,,41.9,pm
1968-06-13,41.3,17.31,,41.4,17.35,,41.3,pm
1968-06-14,41,17.19,,40.2,16.85,,41,pm
1968-06-17,40.7,17.05,,40.9,17.14,,40.7,pm
1968-06-18,41.1,17.23,,40.7,17.05,,41.1,pm
1968-06-19,41.4,17.36,,41.4,17.36,,41.4,pm
1968-06-20,41.1,17.24,,41.05,17.22,,41.1,pm
1968-06-21,41.05,17.22,,41.05,17.22,,41.05,pm
1968-06-24,40.9,17.16,,41.05,17.22,,40.9,pm
1968-06-25,40.95,17.18,,40.85,17.14,,40.95,pm
1968-06-26,40.85,17.14,,40.95,17.18,,40.85,pm
1968-06-27,40.9,17.17,,40.8,17.12,,40.9,pm
1968-06-28,40.9,17.17,,40.95,17.19,,40.9,pm
1968-07-01,40.8,17.12,,40.9,17.16,,40.8,pm
1968-07-02,40.9,17.16,,40.85,17.14,,40.9,pm
1968-07-03,41.05,17.22,,40.9,17.16,,41.05,pm
1968-07-04,41.15,17.27,,41.05,17.23,,41.15,pm
1968-07-05,41,17.21,,41.1,17.25,,41,pm
1968-07-08,40.85,17.12,,40.95,17.17,,40.85,pm
1968-07-09,39.8,16.67,,40.6,16.99,,39.8,pm
1968-07-10,40.1,16.79,,40.15,16.81,,40.1,pm
1968-07-11,39.1,16.37,,39.4,16.51,,39.1,pm
1968-07-12,39.3,16.44,,39.1,16.36,,39.3,pm
1968-07-15,39.2,16.39,,39.15,16.37,,39.2,pm
1968-07-16,38.5,16.1,,38.9,16.27,,38.5,pm
1968-07-17,37.75,15.78,,37.8,15.8,,37.75,pm
1968-07-18,38,15.89,,38,15.89,,38,pm
1968-07-19,38.7,16.19,,39.1,16.35,,38.7,pm
1968-07-22,38.6,16.14,,38.65,16.16,,38.6,pm
1968-07-23,39,16.31,,38.65,16.16,,39,pm
1968-07-24,39.2,16.39,,39.2,16.39,,39.2,pm
1968-07-25,38.9,16.26,,39.1,16.34,,38.9,pm
1968-07-26,38.9,16.25,,38.75,16.19,,38.9,pm
1968-07-29,39.1,16.33,,38.9,16.24,,39.1,pm
1968-07-30,39,16.29,,39.1,16.33,,39,pm
1968-07-31,38.85,16.22,,38.9,16.24,,38.85,pm
1968-08-01,38.9,16.25,,38.8,16.21,,38.9,pm
1968-08-02,38.85,16.23,,38.8,16.21,,38.85,pm
1968-08-05,38.95,16.27,,38.85,16.22,,38.95,pm
1968-08-06,38.7,16.16,,38.85,16.23,,38.7,pm
1968-08-07,38.7,16.16,,38.8,16.2,,38.7,pm
1968-08-08,38.45,16.06,,38.55,16.1,,38.45,pm
1968-08-09,38.55,16.1,,38.45,16.06,,38.55,pm
1968-08-12,38.6,16.12,,38.6,16.12,,38.6,pm
1968-08-13,38.9,16.26,,38.75,16.19,,38.9,pm
1968-08-14,38.95,16.28,,38.95,16.28,,38.95,pm
1968-08-15,39.15,16.37,,39,16.3,,39.15,pm
1968-08-16,39.15,16.37,,39.1,16.34,,39.15,pm
1968-08-19,39.15,16.36,,39.15,16.36,,39.15,pm
1968-08-20,39.55,16.53,,39.35,16.45,,39.55,pm
1968-08-21,40,16.74,,40.3,16.85,,40,pm
1968-08-22,39.75,16.64,,39.65,16.6,,39.75,pm
1968-08-23,39.5,16.54,,39.65,16.6,,39.5,pm
1968-08-26,39.5,16.54,,39.4,16.5,,39.5,pm
1968-08-27,39.65,16.6,,39.55,16.56,,39.65,pm
1968-08-28,39.6,16.59,,39.55,16.57,,39.6,pm
1968-08-29,39.85,16.71,,39.8,16.68,,39.85,pm
1968-08-30,39.8,16.7,,39.85,16.72,,39.8,pm
1968-09-03,39.95,16.76,,39.98,16.77,,39.95,pm
1968-09-04,39.9,16.73,,39.9,16.74,,39.9,pm
1968-09-05,40.1,16.83,,39.95,16.76,,40.1,pm
1968-09-06,39.9,16.74,,40,16.79,,39.9,pm
1968-09-09,40.05,16.78,,40,16.77,,40.05,pm
1968-09-10,40.03,16.77,,40,16.76,,40.03,pm
1968-09-11,40.1,16.8,,40,16.75,,40.1,pm
1968-09-12,40.1,16.8,,40.05,16.78,,40.1,pm
1968-09-13,40.15,16.82,,40.18,16.83,,40.15,pm
1968-09-16,40.3,16.89,,40.2,16.85,,40.3,pm
1968-09-17,40.3,16.88,,40.55,16.97,,40.3,pm
1968-09-18,40.5,16.95,,40.45,16.93,,40.5,pm
1968-09-19,40.45,16.93,,40.53,16.97,,40.45,pm
1968-09-20,40.4,16.91,,40.5,16.95,,40.4,pm
1968-09-23,40.4,16.9,,40.43,16.91,,40.4,pm
1968-09-24,40.45,16.93,,40.48,16.94,,40.45,pm
1968-09-25,40.45,16.92,,40.43,16.91,,40.45,pm
1968-09-26,40.45,16.93,,40.45,16.93,,40.45,pm
1968-09-27,40.13,16.79,,40.3,16.87,,40.13,pm
1968-09-30,39.6,16.57,,39.7,16.63,,39.6,pm
1968-10-01,39.45,16.52,,39.6,16.58,,39.45,pm
1968-10-02,38.9,16.28,,38.3,16.03,,38.9,pm
1968-10-03,39.18,16.39,,39,16.32,,39.18,pm
1968-10-04,39.05,16.34,,38.9,16.28,,39.05,pm
1968-10-07,39.78,16.64,,39.8,16.65,,39.78,pm
1968-10-08,39.6,16.57,,39.75,16.64,,39.6,pm
1968-10-09,38.9,16.28,,39.2,16.4,,38.9,pm
1968-10-10,39.05,16.34,,38.83,16.25,,39.05,pm
1968-10-11,39.28,16.44,,39.2,16.41,,39.28,pm
1968-10-14,39.3,16.45,,39.3,16.49,,39.3,pm
1968-10-15,39.1,16.37,,39.2,16.41,,39.1,pm
1968-10-16,38.95,16.3,,38.95,16.3,,38.95,pm
1968-10-17,39.28,16.44,,39.2,16.4,,39.28,pm
1968-10-18,39.1,16.37,,39.4,16.49,,39.1,pm
1968-10-21,39,16.32,,39.1,16.36,,39,pm
1968-10-22,39.05,16.34,,38.95,16.3,,39.05,pm
1968-10-23,39.2,16.39,,39.18,16.39,,39.2,pm
1968-10-24,39.2,16.4,,39.2,16.4,,39.2,pm
1968-10-25,39.25,16.42,,39.3,16.44,,39.25,pm
1968-10-28,39.48,16.51,,39.38,16.47,,39.48,pm
1968-10-29,39.5,16.53,,39.6,16.57,,39.5,pm
1968-10-30,39.2,16.39,,39.3,16.44,,39.2,pm
1968-10-31,39,16.31,,39.2,16.4,,39,pm
1968-11-01,39.18,16.38,,38.9,16.27,,39.18,pm
1968-11-04,39.2,16.4,,39.25,16.42,,39.2,pm
1968-11-05,39.43,16.5,,39.33,16.46,,39.43,pm
1968-11-06,39.53,16.53,,39.5,16.52,,39.53,pm
1968-11-07,39.3,16.45,,39.53,16.54,,39.3,pm
1968-11-08,39.4,16.49,,39.4,16.49,,39.4,pm
1968-11-11,39.55,16.55,,39.5,16.53,,39.55,pm
1968-11-12,39.68,16.6,,39.73,16.63,,39.68,pm
1968-11-13,39.88,16.69,,39.75,16.63,,39.88,pm
1968-11-14,39.9,16.72,,39.75,16.65,,39.9,pm
1968-11-15,40,16.78,,40,16.77,,40,pm
1968-11-18,39.95,16.77,,40,16.78,,39.95,pm
1968-11-19,40.23,16.88,,40.05,16.81,,40.23,pm
