quarter,avg_usd,n_days,min_usd,max_usd
1968-Q2,39.9194,62,36.95,42.4
1968-Q3,39.5948,65,37.75,41.15
1968-Q4,39.9651,63,38.9,41.9
1969-Q1,42.6844,63,41.8,43.83
1969-Q2,42.73,62,40.63,43.63
1969-Q3,41.2571,65,40.63,42.1
1969-Q4,37.8048,63,35,40.95
1970-Q1,35.0067,61,34.75,35.31
1970-Q2,35.6569,64,35.13,36.23
1970-Q3,35.6357,65,35.23,36.4
1970-Q4,37.4673,64,36.33,39.01
1971-Q1,38.5149,63,37.39,39.04
1971-Q2,39.8855,62,38.85,41.2
1971-Q3,41.8753,64,40.24,43.94
1971-Q4,42.9492,64,42.15,43.98
1972-Q1,47.4622,64,44,49.25
1972-Q2,55.5437,63,48.29,64.85
1972-Q3,66.0708,64,61.25,70
1972-Q4,63.8952,63,60.35,65.6
1973-Q1,74.5811,64,63.9,90
1973-Q2,104.5973,62,89.25,126
1973-Q3,110.1844,64,94,127
1973-Q4,100.1727,63,90,112.25
1974-Q1,148.9476,63,116.5,177.5
1974-Q2,163.2032,62,144.25,179.5
1974-Q3,149.6308,65,129,159.4
1974-Q4,173.9643,63,154,195.25
1975-Q1,177.9459,61,169.5,185.25
1975-Q2,167.1992,64,161.75,177.25
1975-Q3,157.3662,65,128.75,168.4
1975-Q4,141.5516,63,137.25,146.25
1976-Q1,131.7492,64,124.6,140.35
1976-Q2,126.8242,62,123.7,129.2
1976-Q3,114.0046,65,103.5,123.3
1976-Q4,126.7738,63,114,138.85
1977-Q1,139.3732,63,129.75,153.55
1977-Q2,145.4918,61,137.1,152.2
1977-Q3,145.9951,65,140.5,154.05
1977-Q4,160.4968,62,153.95,167.95
1978-Q1,178.3347,62,165.7,190
1978-Q2,178.5794,63,167.65,186.5
1978-Q3,202.4289,64,182.75,218.4
1978-Q4,214.0492,63,193.4,242.75
1979-Q1,238.1,64,216.85,252.35
1979-Q2,259.2525,61,231.9,283.85
1979-Q3,315.6953,64,281.35,397.25
1979-Q4,408.4148,61,372,512
1980-Q1,632.0898,64,481.5,850
1980-Q2,544.9123,61,485.75,653.5
1980-Q3,648.9415,65,605,711
1980-Q4,628.696,62,558,690
1981-Q1,517.996,62,461.5,599.25
1981-Q2,478.1475,61,426,533.75
1981-Q3,421.4047,64,391.25,463.5
1981-Q4,421.0177,62,395,453.5
1982-Q1,361.2825,63,312,403.5
1982-Q2,332.441,61,296.75,366.75
1982-Q3,380.4154,65,306.75,481
1982-Q4,426.3669,62,387.5,460.5
1983-Q1,461.9484,63,408.5,509.25
1983-Q2,427.3344,61,400.25,443.75
1983-Q3,416.8292,65,401.75,430.5
1983-Q4,387.7352,61,374.25,405
