ticker,cik,form,filing_date,report_date,period_hint,is_annual_form,accession,seq,doc_type,exhibit_filename,local_path,bytes,sha256,has_operating_stats,has_financial_statements,doc_role,status
AEM,0000002809,6-K,2004-10-28,2004-09-30,2004-Q3,False,0001047469-04-032376,1,6-K,a2145658z6-k.htm,data/raw/AEM/2004-Q3_0001047469-04-032376_a2145658z6-k.htm,469661,1bc3537c0b73eefb6c25b07bf531f3b581c1d30a7909930d23347e8897eda819,True,False,operating_stats,downloaded
AEM,0000002809,6-K,2004-12-09,2004-12-07,2004-Q3,False,0001047469-04-036549,1,6-K,a2148274z6-k.htm,data/raw/AEM/2004-Q3_0001047469-04-036549_a2148274z6-k.htm,27190,45ad0f87391f70e6877552e1e40ff6e8358b77163001d0a67d76daee8a2dad4a,False,False,other,downloaded
AEM,0000002809,6-K,2005-01-20,2005-01-17,2004-Q4,False,0001047469-05-001189,1,6-K,a2150180z6-k.htm,data/raw/AEM/2004-Q4_0001047469-05-001189_a2150180z6-k.htm,14609,11acdcc52d551891f8e8672b9ef3c121bef71968545618bdd0bf8b82ed12ffd6,False,False,other,downloaded
AEM,0000002809,6-K,2005-03-03,2005-02-23,2004-Q4,False,0001047469-05-005315,1,6-K,a2152566z6-k.htm,data/raw/AEM/2004-Q4_0001047469-05-005315_a2152566z6-k.htm,41594,6907a963702178d271c35123b6b647659d1ab0d463ee786ae7958f0a525344cc,False,False,other,downloaded
AEM,0000002809,20-F,2005-04-01,2004-12-31,2004-Q4,True,0001047469-05-008704,1,20-F,a2153918z20-f.htm,data/raw/AEM/2004-Q4_0001047469-05-008704_a2153918z20-f.htm,1238895,bf6736b96a3a5461a8485571eec3645cff612fb9739567af69999f69d8939ebd,True,True,annual_combined_release,downloaded
AEM,0000002809,6-K,2005-04-01,2004-12-31,2004-Q4,False,0001047469-05-008789,1,6-K,a2155097z6-k.htm,data/raw/AEM/2004-Q4_0001047469-05-008789_a2155097z6-k.htm,9763,151cac24f039e9b24719536b4c8330685a879b99df8c66df37544a0b0d3175ab,False,False,other,downloaded
AEM,0000002809,6-K,2005-04-01,2004-12-31,2004-Q4,False,0001047469-05-008789,2,EX-99.1,a2155097zex-99_1.htm,data/raw/AEM/2004-Q4_0001047469-05-008789_a2155097zex-99_1.htm,211448,27a1875b1110445d3beb65dd368f5846a243e39f7180e54ce4a82038e8197451,False,False,other,downloaded
AEM,0000002809,6-K,2005-04-01,2004-12-31,2004-Q4,False,0001047469-05-008789,3,EX-99.2,a2155097zex-99_2.htm,data/raw/AEM/2004-Q4_0001047469-05-008789_a2155097zex-99_2.htm,363282,b76bf16cf7a236575be8921436f55f2b4b2331bcbcb77c45b633b102f4648878,True,False,operating_stats,downloaded
AEM,0000002809,6-K,2005-04-01,2004-12-31,2004-Q4,False,0001047469-05-008789,4,EX-99.3,a2155097zex-99_3.htm,data/raw/AEM/2004-Q4_0001047469-05-008789_a2155097zex-99_3.htm,479663,e1b25a55c48cbf1e6f399fdc5573dfab814d88f69d62e1c8352d7e93ef781e7d,False,True,financial_statements,downloaded
AEM,0000002809,6-K,2005-05-12,2005-05-12,2005-Q1,False,0001047469-05-014609,1,6-K,a2158184z6-k.htm,data/raw/AEM/2005-Q1_0001047469-05-014609_a2158184z6-k.htm,61683,48d695151ad37b8459dd16275697827e8261be1f958735f99de0d221d763725f,False,False,other,downloaded
