company,cik,era_start,era_end,form_types,frequency,doc_format,has_gold_segment_split,cost_metric_published,cost_metric_caption,sample_accession,notes
Newmont Corporation,0001164727,2002,2002,"10-K, 10-Q",quarterly,"HTML (.htm/.txt hybrid), no XBRL",yes,"total cash cost, cash operating cost","""Costs applicable to sales"" / ""total cash cost per ounce""",0000899243-02-000771,New post-reorg holding-co CIK; FY2001 10-K is first filing (2002-01-10 S-4). VERIFIED by fetch: gold sales vs copper sales split present; cash-cost captions present.
Newmont Corporation,0001164727,2003,2008,"10-K, 10-Q",quarterly,"HTML, no XBRL",yes,varies by year (not consistently in 10-K body),"""Costs applicable to sales""; cash-cost/AISC narrative sometimes only in 8-K release, not 10-K",0000950134-09-003236,"VERIFIED: FY2008 10-K (filed 2009-02-19) has segment split but ZERO hits for total-cash-cost/AISC keywords in the 10-K body itself -- cost-per-oz narrative for that year likely lives in the EX-99 8-K earnings release, not the 10-K. Inferred that 8-K carries it (not sampled here)."
Newmont Corporation,0001164727,2009,2012,"10-K, 10-Q",quarterly,HTML + separate-file XBRL exhibit (EX-101),yes,all-in sustaining cost (present by FY2012 10-K),"""All-in sustaining costs""",0001193125-13-070256,"VERIFIED: FY2012 10-K (filed 2013-02-22) already uses AISC language, PREDATING the June-2013 WGC standard -- Newmont was an early/voluntary adopter. Exact first year within 2009-2012 not individually verified (bracket)."
Newmont Corporation,0001164727,2013,2018,"10-K, 10-Q",quarterly,HTML + separate-file XBRL exhibit (EX-101),yes,all-in sustaining cost,"""All-in sustaining costs"", ""AISC""",0001558370-19-000806,VERIFIED FY2018 10-K (filed 2019-02-21): xbrl_exhibit_in_index=True but inline_xbrl=False -- pre-inline-XBRL era for this filer.
Newmont Corporation,0001164727,2019,2026,"10-K, 10-Q",quarterly,HTML + inline XBRL (ix:),yes,all-in sustaining cost,"""All-in sustaining costs"", ""AISC""",0001164727-24-000016,"VERIFIED FY2023 10-K inline_xbrl=True. Exact iXBRL-adoption year between FY2018-FY2023 not individually pinned (SEC large-accelerated-filer iXBRL mandate was FY2019, consistent)."
"Newmont Mining Corp (predecessor, pre-2002 reorg)",0000071824,1994,1996,"10-K, 10-K405, 10-Q",quarterly,"plain-text .txt, SGML pseudo-tables, NOT true HTML",yes,none,"(no ""total cash cost"" caption found)",0000950134-94-000288,"VERIFIED: FY1993 10-K (earliest filing on EDGAR for this CIK -- confirmed true earliest via company.idx scan of 1993 full-index, no earlier filings found under any Barrick/Newmont-adjacent CIK). Gold-sales line present but no industry cash-cost caption yet (Gold Institute standard not published until 1996)."
"Newmont Mining Corp (predecessor, pre-2002 reorg)",0000071824,1997,2001,"10-K, 10-K405, 10-Q",quarterly,plain-text .txt / early pseudo-HTML,yes,"total cash cost, cash operating cost","""Total cash cost per ounce""",0000950134-98-002550,"VERIFIED: FY1997 10-K (filed 1998-03-27) is the first sampled filing with ""total cash cost""/""cash operating cost"" captions, consistent with Gold Institute's 1996 standard. Entity folded into new holding-co CIK 1164727 in the 2002 reorg; last annual filing here is 10-K405 FY2000 (2001-04-02)."
Barrick (American Barrick / Barrick Gold / Barrick Mining),0000756894,pre-2001,2001,NONE FOUND,n/a,NO EDGAR RECORD,n/a,n/a,n/a,n/a,"VERIFIED ABSENCE: exhaustively checked full-index company.idx for ALL quarters 1993-2000 (grep -i barrick = 0 hits every quarter) and browse-edgar dateb=20020101 for CIK 756894 (0 rows). SGML header of the 2002 paper 20-F lists a leftover ""FORMER COMPANY: BARRICK RESOURCES CORP, name change 1986-01-09"" administrative field, but no actual filings under this or any other discoverable CIK exist pre-2001. Barrick was NYSE-listed and operating since the 1980s but is NOT retrievable from EDGAR before 2001 -- likely paper/exempt-FPI filer until the MJDS EDGAR mandate. This is a hard floor: no machine-readable Barrick financials before 2002 exist on EDGAR at all."
Barrick (American Barrick / Barrick Gold / Barrick Mining),0000756894,2001,2002,"F-4, 6-K (paper)",n/a,"first 6-K real 2002-07-26; FY2001 20-F filed 2002-04-29 is a PAPER-ONLY STUB (no document text, per EDGAR paper-filing convention)",unknown,unknown,n/a,9999999997-02-026337,"VERIFIED: fetched the FY2001 20-F full submission .txt -- it is an auto-generated EDGAR paper placeholder (""This document was generated as part of a paper submission... reference Document Control Number 02030386 for the original""). NO financial content is retrievable for FY2001 despite a filing record existing."
Barrick (American Barrick / Barrick Gold / Barrick Mining),0000756894,2003,2013,"40-F (wrapper) + EX-99.1..99.x exhibits, 6-K",annual (40-F) + irregular 6-K (6-19/yr),"HTML, no XBRL (2003-2008); separate-file XBRL exhibit appears by ~2009-2013","yes (in EX-99.4 MD&A / EX-99.3 fin-stmt exhibit, NOT in the bare 40-F)","total cash cost, cash operating cost (through FY2012); AISC absent as of FY2012","""Total cash cost per ounce""; no AISC caption yet in FY2012 MD&A",0001193125-13-131918,"STRUCTURAL GOTCHA (verified): the primary 40-F document is a near-empty wrapper (30-90KB, ZERO segment/cost keyword hits at every era sampled). All real content -- AIF, MD&A, audited financial statements with segment note -- lives in EX-99.1 through EX-99.x exhibits filed under the SAME accession. Confirmed EX-99.4 (MD&A) for FY2012 has gold/copper segment split and ""total cash cost"" but NOT yet ""all-in sustaining cost""."
